Torino 9 1 0 48 417838
Torino 9 1 1 25 417839
Torino 9 1 2 9 417840
Torino 9 1 3 6 417841
Torino 9 1 4 9 417842
Torino 9 1 5 19 417843
Torino 9 1 6 34 417844
Torino 9 1 7 84 417845
Torino 9 1 8 155 417846
Torino 9 1 9 130 417847
Torino 9 1 10 85 417848
Torino 9 1 11 104 417849
Torino 9 1 12 117 417850
Torino 9 1 13 108 417851
Torino 9 1 14 105 417852
Torino 9 1 15 121 417853
Torino 9 1 16 128 417854
Torino 9 1 17 120 417855
Torino 9 1 18 136 417856
Torino 9 1 19 125 417857
Torino 9 1 20 126 417858
Torino 9 1 21 97 417859
Torino 9 1 22 79 417860
Torino 9 1 23 68 417861
Torino 9 2 0 42 417862
Torino 9 2 1 30 417863
Torino 9 2 2 34 417864
Torino 9 2 3 16 417865
Torino 9 2 4 8 417866
Torino 9 5 11 6 417945
Torino 9 5 12 122 417946
Torino 9 5 13 121 417947
Torino 9 5 14 132 417948
Torino 9 5 15 106 417949
Torino 9 5 16 123 417950
Torino 9 5 17 149 417951
Torino 9 5 18 163 417952
Torino 9 5 19 171 417953
Torino 9 5 20 141 417954
Torino 9 5 21 89 417955
Torino 9 5 22 84 417956
Torino 9 5 23 79 417957
Torino 9 6 0 59 417958
Torino 9 6 1 26 417959
Torino 9 6 2 13 417960
Torino 9 6 3 3 417961
Torino 9 6 4 6 417962
Torino 9 6 5 18 417963
Torino 9 6 6 41 417964
Torino 9 6 7 98 417965
Torino 9 6 8 182 417966
Torino 9 6 9 147 417967
Torino 9 6 10 109 417968
Torino 9 6 11 107 417969
Torino 9 6 12 120 417970
Torino 9 6 13 131 417971
Torino 9 6 14 150 417972
Torino 9 6 15 133 417973
Torino 9 6 16 121 417974
Torino 9 6 17 169 417975
Torino 9 6 18 199 417976
Torino 9 6 19 164 417977
Torino 9 6 20 137 417978
Torino 9 6 21 121 417979
Torino 9 6 22 93 417980
Torino 9 6 23 76 417981
Torino 9 7 0 65 417982
Torino 9 7 1 27 417983
Torino 9 7 2 19 417984
Torino 9 7 3 5 417985
Torino 9 7 4 9 417986
Torino 9 7 5 13 417987
Torino 9 7 6 30 417988
Torino 9 7 7 83 417989
Torino 9 7 8 205 417990
Torino 9 7 9 152 417991
Torino 9 7 10 132 417992
Torino 9 7 11 115 417993
Torino 9 7 12 145 417994
Torino 9 7 13 115 417995
Torino 9 7 14 158 417996
Torino 9 7 15 119 417997
Torino 9 7 16 117 417998
Torino 9 7 17 147 417999
Torino 9 7 18 170 418000
Torino 9 7 19 163 418001
Torino 9 7 20 194 418002
Torino 9 7 21 119 418003
Torino 9 7 22 101 418004
Torino 9 7 23 103 418005
Torino 9 8 0 64 418006
Torino 9 8 1 25 418007
Torino 9 8 2 20 418008
Torino 9 8 3 6 418009
Torino 9 8 4 8 418010
Torino 9 8 5 21 418011
Torino 9 8 6 40 418012
Torino 9 8 7 97 418013
Torino 9 8 8 169 418014
Torino 9 8 9 147 418015
Torino 9 8 10 111 418016
Torino 9 8 11 130 418017
Torino 9 8 12 138 418018
Torino 9 8 13 152 418019
Torino 9 8 14 139 418020
Torino 9 8 15 148 418021
Torino 9 8 16 146 418022
Torino 9 8 17 170 418023
Torino 9 8 18 156 418024
Torino 9 8 19 139 418025
Torino 9 8 20 140 418026
Torino 9 8 21 86 418027
Torino 9 8 22 92 418028
Torino 9 8 23 101 418029
Torino 9 9 0 95 418030
Torino 9 9 1 57 418031
Torino 9 9 2 48 418032
Torino 9 9 3 23 418033
Torino 9 9 4 21 418034
Torino 9 9 5 25 418035
Torino 9 9 6 24 418036
Torino 9 9 7 39 418037
Torino 9 9 8 59 418038
Torino 9 9 9 105 418039
Torino 9 9 10 111 418040
Torino 9 9 11 91 418041
Torino 9 9 12 128 418042
Torino 9 9 13 104 418043
Torino 9 9 14 115 418044
Torino 9 9 15 106 418045
Torino 9 9 16 138 418046
Torino 9 9 17 114 418047
Torino 9 9 18 98 418048
Torino 9 9 19 117 418049
Torino 9 9 20 126 418050
Torino 9 9 21 80 418051
Torino 9 9 22 88 418052
Torino 9 9 23 68 418053
Torino 9 10 0 79 418054
Torino 9 10 1 66 418055
Torino 9 10 2 42 418056
Torino 9 10 3 31 418057
Torino 9 10 4 29 418058
Torino 9 10 5 18 418059
Torino 9 10 6 13 418060
Torino 9 10 7 19 418061
Torino 9 10 8 38 418062
Torino 9 10 9 39 418063
Torino 9 10 10 68 418064
