MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
New York City 189 85
Madrid 189 105
Madrid 190 110
New York City 190 104
Torino 190 47
Madrid 191 84
New York City 191 84
Torino 191 69
Madrid 192 72
Torino 192 65
New York City 192 77
Madrid 193 76
Torino 193 33
New York City 193 73
New York City 194 78
Madrid 194 47
Torino 194 30
New York City 195 46
Madrid 195 49
Torino 195 32
New York City 196 66
Madrid 196 41
Torino 196 26
New York City 197 39
Madrid 197 40
Torino 197 44
Madrid 198 36
New York City 198 32
Torino 198 48
New York City 199 38
Madrid 199 42
Torino 199 17
Madrid 200 25
New York City 200 37
Torino 200 15
New York City 201 32
Madrid 201 35
Torino 201 26
Madrid 202 26
New York City 202 19
Torino 202 29
Madrid 203 36
New York City 203 37
Torino 203 15
New York City 204 27
Madrid 204 30
Torino 204 23
Madrid 205 155
New York City 205 23
Torino 205 17
Torino 206 17
Madrid 206 24
New York City 206 23
Madrid 207 35
New York City 207 17
Torino 207 11
Madrid 208 14
New York City 208 19
Torino 208 14
New York City 209 8
Madrid 209 16
Torino 209 15
Madrid 210 16
Torino 210 12
New York City 210 11
Madrid 211 12
New York City 211 11
Torino 211 7
New York City 212 9
Madrid 212 21
Torino 212 10
New York City 213 6
Madrid 213 203
Torino 213 12
New York City 214 5
Madrid 214 12
Torino 214 2
New York City 215 7
Madrid 215 10
Torino 215 5
New York City 216 10
Madrid 216 3
Torino 216 2
Madrid 217 3
New York City 217 7
Torino 217 3
New York City 218 6
Madrid 218 5
Torino 218 2
New York City 219 1
Madrid 219 9
Torino 219 4
New York City 220 1
Madrid 220 6
Torino 220 2
Torino 221 8
New York City 221 2
Madrid 221 6
New York City 222 3
Madrid 222 8
Torino 222 3
New York City 223 1
Madrid 223 2
Torino 223 3
Madrid 224 1
Torino 224 3
Madrid 225 3
Torino 225 3
Madrid 226 1
Torino 226 1
New York City 227 1
Madrid 227 2
Torino 227 2
Madrid 228 5
New York City 228 9
Torino 228 2
Madrid 229 11
Torino 229 11
New York City 229 8
Madrid 230 22
New York City 230 15
Torino 230 5
Madrid 231 43
New York City 231 24
Torino 231 25
Madrid 232 69
New York City 232 30
Torino 232 33
Madrid 233 90
New York City 233 58
Torino 233 42
Madrid 234 102
New York City 234 56
Torino 234 54
New York City 235 68
Madrid 235 104
Torino 235 55
Madrid 236 89
New York City 236 63
Torino 236 64
Torino 237 49
New York City 237 57
Madrid 237 83
Madrid 238 92
New York City 238 56
Torino 238 49
New York City 239 55
Madrid 239 75
Torino 239 57
New York City 240 51
Madrid 240 62
Torino 240 29
Madrid 241 44
New York City 241 57
Torino 241 28
Torino 242 28
Madrid 242 42
New York City 242 37
Madrid 243 53
New York City 243 31
Torino 243 25
Madrid 244 35
New York City 244 19
Torino 244 349
Madrid 245 25
New York City 245 22
Torino 245 38
Torino 246 25
Madrid 246 28
New York City 246 32
New York City 247 20
Madrid 247 35
Torino 247 14
New York City 248 21
Madrid 248 29
Torino 248 11
New York City 249 14
Torino 249 28
Madrid 249 23
Torino 250 13
Madrid 250 21
New York City 250 29
New York City 251 28
Madrid 251 31
Torino 251 12
New York City 252 8
Madrid 252 28
Torino 252 20
Madrid 253 133
New York City 253 11
Torino 253 120
Madrid 254 24
New York City 254 15
Torino 254 9
New York City 255 17
Madrid 255 19
Torino 255 10
Madrid 256 14
New York City 256 13
Torino 256 9
Madrid 257 21
New York City 257 13
Torino 257 12
New York City 258 11
Madrid 258 24
Torino 258 11
New York City 259 13
Madrid 259 18
Torino 259 17
Madrid 260 17
New York City 260 5
Torino 260 8
New York City 261 6
Madrid 261 14
Torino 261 13
New York City 262 3
Madrid 262 11
Torino 262 7
New York City 263 4
Madrid 263 14
Torino 263 6
Madrid 264 286
Torino 264 8
New York City 264 4
Madrid 265 7
New York City 265 2
Torino 265 7
Madrid 266 13
Torino 266 4
New York City 266 3
New York City 267 5
Madrid 267 10
Torino 267 3
Madrid 268 6
New York City 268 3
Torino 268 8
New York City 269 3
Madrid 269 12
Torino 269 4
New York City 270 1
Madrid 270 8
Torino 270 3
New York City 271 2
Madrid 271 6
Torino 271 6
New York City 272 1
Madrid 272 8
Torino 272 7
New York City 273 6
Madrid 273 9
Torino 273 5
New York City 274 4
Madrid 274 5
Torino 274 2
Madrid 275 12
New York City 275 10
Torino 275 7
Madrid 276 18
New York City 276 12
Torino 276 8
Madrid 277 25
Torino 277 11
New York City 277 10
Madrid 278 38
New York City 278 17
Torino 278 29
Madrid 279 48
New York City 279 24
Torino 279 25
Torino 280 48
Madrid 280 80
New York City 280 37
New York City 281 47
Madrid 281 85
Torino 281 47
New York City 282 42
Madrid 282 97
Torino 282 55
Torino 283 56
Madrid 283 85
New York City 283 41
New York City 284 36
Madrid 284 76
Torino 284 47
Madrid 285 59
New York City 285 44
Torino 285 43
Madrid 286 69
New York City 286 32
Torino 286 49
Torino 287 45
Madrid 287 76
New York City 287 51
New York City 288 29
Madrid 288 61
Torino 288 29
New York City 289 26
Madrid 289 31
Torino 289 26
New York City 290 23
Madrid 290 42
Torino 290 18
Madrid 291 33
New York City 291 25
Torino 291 18
Madrid 292 30
Torino 292 70
New York City 292 23
New York City 293 22
Madrid 293 35
Torino 293 18
Torino 294 12
Madrid 294 27
New York City 294 16
Madrid 295 21
New York City 295 24
Torino 295 15
Torino 296 13
Madrid 296 25
New York City 296 16
Torino 297 15
Madrid 297 22
New York City 297 15
Madrid 298 28
Torino 298 12
New York City 298 17
New York City 299 8
Madrid 299 34
Torino 299 12
New York City 300 17
Madrid 300 23
Torino 300 15
New York City 301 14
Madrid 301 27
Torino 301 12
Madrid 302 22
Torino 302 16
New York City 302 15
Madrid 303 25
New York City 303 11
Torino 303 15
Madrid 304 15
Torino 304 13
New York City 304 19
New York City 305 3
Madrid 305 18
Torino 305 11
New York City 306 8
Madrid 306 15
Torino 306 12
Madrid 307 19
New York City 307 10
Torino 307 12
New York City 308 8
Madrid 308 19
Torino 308 16
Madrid 309 17
Torino 309 12
New York City 309 7
Madrid 310 50
New York City 310 5
Torino 310 13
New York City 311 6
Madrid 311 23
Torino 311 14
New York City 312 8
Torino 312 12
Madrid 312 22
New York City 313 5
Madrid 313 13
Torino 313 9
Madrid 314 12
Torino 314 7
New York City 314 5
Madrid 315 14
Torino 315 121
New York City 315 4
New York City 316 4
Madrid 316 13
Torino 316 6
Madrid 317 11
Torino 317 15
New York City 317 2
Madrid 318 6
New York City 318 8
Torino 318 6
New York City 319 6
Madrid 319 8
Torino 319 10
New York City 320 4
Madrid 320 10
Torino 320 5
New York City 321 7
Madrid 321 11
Torino 321 15
Madrid 322 18
New York City 322 10
Torino 322 11
Madrid 323 21
New York City 323 6
Torino 323 13
Madrid 324 31
New York City 324 9
Torino 324 14
New York City 325 24
Madrid 325 55
Torino 325 21
Madrid 326 52
New York City 326 37
Torino 326 40
Torino 327 36
New York City 327 25
Madrid 327 61
Madrid 328 88
New York City 328 34
Torino 328 45
Madrid 329 73
New York City 329 43
Torino 329 54
Madrid 330 101
New York City 330 43
Torino 330 64
Madrid 331 84
New York City 331 46
Torino 331 51
New York City 332 38
Torino 332 62
Madrid 332 68
Madrid 333 63
New York City 333 36
Torino 333 32
Madrid 334 38
Torino 334 37
New York City 334 36
New York City 335 28
Madrid 335 59
Torino 335 29
Torino 336 31
Madrid 336 47
New York City 336 36
Madrid 337 29
Torino 337 32
New York City 337 23
Madrid 338 39
Torino 338 26
New York City 338 30
Madrid 339 25
New York City 339 26
Torino 339 13
Madrid 340 30
New York City 340 20
Torino 340 20
Madrid 341 24
Torino 341 23
New York City 341 19
Madrid 342 22
Torino 342 14
New York City 342 27
Madrid 343 30
New York City 343 14
Torino 343 7
Madrid 344 16
Torino 344 17
New York City 344 16
Madrid 345 22
Torino 345 14
New York City 345 14
Madrid 346 26
Torino 346 20
New York City 346 19
Madrid 347 24
New York City 347 19
Torino 347 17
Madrid 348 24
New York City 348 9
Torino 348 12
New York City 349 13
Madrid 349 32
Torino 349 21
Torino 350 17
New York City 350 11
Madrid 350 12
New York City 351 7
Madrid 351 18
Torino 351 9
Madrid 352 17
Torino 352 9
New York City 352 8
Madrid 353 25
New York City 353 5
Torino 353 13
Madrid 354 14
New York City 354 1
Torino 354 15
Madrid 355 20
New York City 355 5
Torino 355 15
Madrid 356 19
New York City 356 11
Torino 356 10
Madrid 357 12
Torino 357 17
New York City 357 4
New York City 358 12
Madrid 358 24
Torino 358 16
Madrid 359 15
New York City 359 11
Torino 359 24
Madrid 360 20
New York City 360 13
Torino 360 13
Madrid 361 19
Torino 361 17
New York City 361 7
New York City 362 3
Madrid 362 15
Torino 362 19
Madrid 363 18
New York City 363 7
Torino 363 18
Madrid 364 9
Torino 364 9
New York City 364 5
New York City 365 5
Madrid 365 18
Torino 365 6
New York City 366 3
Madrid 366 15
Torino 366 9
New York City 367 4
Torino 367 10
Madrid 367 15
Madrid 368 25
New York City 368 8
Torino 368 16
Madrid 369 23
New York City 369 8
Torino 369 11
Madrid 370 34
Torino 370 19
New York City 370 15
Madrid 371 39
New York City 371 11
Torino 371 41
Torino 372 37
Madrid 372 108
New York City 372 21
Madrid 373 77
Torino 373 26
New York City 373 24
Madrid 374 71
New York City 374 21
Torino 374 43
Torino 375 44
Madrid 375 77
New York City 375 32
Madrid 376 74
Torino 376 56
New York City 376 32
Madrid 377 77
Torino 377 45
New York City 377 36
Madrid 378 71
Torino 378 34
New York City 378 37
Madrid 379 93
Torino 379 45
New York City 379 35
Madrid 380 79
New York City 380 27
Torino 380 47
Madrid 381 65
New York City 381 30
Torino 381 50
Madrid 382 61
Torino 382 35
New York City 382 32
Torino 383 35
Madrid 383 46
New York City 383 24
Madrid 384 58
Torino 384 36
New York City 384 22
Madrid 385 43
Torino 385 36
New York City 385 20
Madrid 386 42
Torino 386 21
New York City 386 22
Torino 387 17
Madrid 387 41
New York City 387 11
Madrid 388 29
New York City 388 13
Torino 388 17
Madrid 389 27
Torino 389 10
New York City 389 14
New York City 390 13
Madrid 390 24
Torino 390 29
Madrid 391 25
Torino 391 19
New York City 391 15
Madrid 392 14
Torino 392 11
New York City 392 15
New York City 393 22
Torino 393 18
Madrid 393 34
Madrid 394 21
New York City 394 10
Torino 394 24
Madrid 395 17
New York City 395 8
Torino 395 18
Madrid 396 20
Torino 396 13
New York City 396 13
Madrid 397 19
Torino 397 17
New York City 397 13
New York City 398 18
Madrid 398 21
Torino 398 16
New York City 399 12
Madrid 399 15
Torino 399 11
Torino 400 13
Madrid 400 17
New York City 400 11
Madrid 401 20
New York City 401 18
Torino 401 11
Madrid 402 32
New York City 402 6
Torino 402 8
Madrid 403 16
