MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-13T22:11:42.314+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
0 , 0 , 3868
0 , 1 , 1509
0 , 2 , 3204
0 , 3 , 958
0 , 4 , 1889
0 , 5 , 1621
0 , 6 , 1404
0 , 7 , 1338
0 , 8 , 691
0 , 9 , 752
0 , 10 , 564
0 , 11 , 515
0 , 12 , 558
0 , 13 , 496
0 , 14 , 155
0 , 15 , 309
0 , 16 , 357
0 , 17 , 233
0 , 18 , 115
0 , 19 , 640
0 , 20 , 1062
0 , 21 , 106
0 , 22 , 265
1 , 0 , 1446
1 , 1 , 449
1 , 2 , 970
1 , 3 , 288
1 , 4 , 511
1 , 5 , 285
1 , 6 , 335
1 , 7 , 451
1 , 8 , 370
1 , 9 , 383
1 , 10 , 163
1 , 11 , 134
1 , 12 , 154
1 , 13 , 103
1 , 14 , 51
1 , 15 , 34
1 , 16 , 43
1 , 17 , 39
1 , 18 , 17
1 , 19 , 137
1 , 20 , 371
1 , 21 , 36
1 , 22 , 123
2 , 0 , 3042
2 , 1 , 979
2 , 2 , 1195
2 , 3 , 599
2 , 4 , 1137
2 , 5 , 607
2 , 6 , 426
2 , 7 , 336
2 , 8 , 521
2 , 9 , 545
2 , 10 , 405
2 , 11 , 340
2 , 12 , 347
2 , 13 , 238
2 , 14 , 51
2 , 15 , 47
2 , 16 , 73
2 , 17 , 59
2 , 18 , 27
2 , 19 , 92
2 , 20 , 294
2 , 21 , 36
2 , 22 , 173
3 , 0 , 979
3 , 1 , 305
3 , 2 , 706
3 , 3 , 327
3 , 4 , 795
3 , 5 , 411
3 , 6 , 199
3 , 7 , 112
3 , 8 , 181
3 , 9 , 147
3 , 10 , 255
3 , 11 , 192
3 , 12 , 317
3 , 13 , 204
3 , 14 , 34
3 , 15 , 45
3 , 16 , 67
3 , 17 , 23
3 , 18 , 29
3 , 19 , 36
3 , 20 , 51
3 , 21 , 3
3 , 22 , 103
4 , 0 , 2021
4 , 1 , 514
4 , 2 , 1101
4 , 3 , 818
4 , 4 , 1031
4 , 5 , 956
4 , 6 , 621
4 , 7 , 386
4 , 8 , 203
4 , 9 , 266
4 , 10 , 345
4 , 11 , 255
4 , 12 , 564
4 , 13 , 401
4 , 14 , 123
4 , 15 , 171
4 , 16 , 140
4 , 17 , 100
4 , 18 , 43
4 , 19 , 94
4 , 20 , 171
4 , 21 , 38
4 , 22 , 148
5 , 0 , 1666
5 , 1 , 265
5 , 2 , 648
5 , 3 , 439
5 , 4 , 945
5 , 5 , 1011
5 , 6 , 747
5 , 7 , 483
5 , 8 , 132
5 , 9 , 140
5 , 10 , 143
5 , 11 , 139
5 , 12 , 377
5 , 13 , 485
5 , 14 , 201
5 , 15 , 252
5 , 16 , 289
5 , 17 , 190
5 , 18 , 73
5 , 19 , 97
5 , 20 , 94
5 , 21 , 53
5 , 22 , 52
6 , 0 , 1392
6 , 1 , 318
6 , 2 , 372
6 , 3 , 185
6 , 4 , 648
6 , 5 , 790
6 , 6 , 848
6 , 7 , 762
6 , 8 , 131
6 , 9 , 97
6 , 10 , 95
6 , 11 , 74
6 , 12 , 189
6 , 13 , 217
6 , 14 , 106
6 , 15 , 179
6 , 16 , 256
6 , 17 , 260
6 , 18 , 94
6 , 19 , 223
6 , 20 , 177
6 , 21 , 174
6 , 22 , 41
7 , 0 , 1345
7 , 1 , 414
7 , 2 , 344
7 , 3 , 147
7 , 4 , 368
7 , 5 , 511
7 , 6 , 689
7 , 7 , 533
7 , 8 , 146
7 , 9 , 100
7 , 10 , 62
7 , 11 , 52
7 , 12 , 96
7 , 13 , 107
7 , 14 , 44
7 , 15 , 90
7 , 16 , 151
7 , 17 , 150
7 , 18 , 57
7 , 19 , 328
7 , 20 , 246
7 , 21 , 90
7 , 22 , 57
8 , 0 , 686
8 , 1 , 350
8 , 2 , 468
8 , 3 , 148
8 , 4 , 209
8 , 5 , 135
8 , 6 , 120
8 , 7 , 119
8 , 8 , 401
8 , 9 , 437
8 , 10 , 135
8 , 11 , 138
8 , 12 , 108
8 , 13 , 63
8 , 14 , 17
8 , 15 , 12
8 , 16 , 63
8 , 17 , 22
8 , 18 , 20
8 , 19 , 55
8 , 20 , 157
8 , 21 , 13
8 , 22 , 258
9 , 0 , 809
9 , 1 , 410
9 , 2 , 589
9 , 3 , 152
9 , 4 , 241
9 , 5 , 135
9 , 6 , 69
9 , 7 , 87
9 , 8 , 385
9 , 9 , 485
9 , 10 , 169
9 , 11 , 223
9 , 12 , 102
9 , 13 , 81
9 , 14 , 15
9 , 15 , 28
9 , 16 , 23
9 , 17 , 10
9 , 18 , 8
9 , 19 , 19
9 , 20 , 75
9 , 21 , 5
9 , 22 , 323
10 , 0 , 608
10 , 1 , 195
10 , 2 , 348
10 , 3 , 231
10 , 4 , 324
10 , 5 , 149
10 , 6 , 72
10 , 7 , 57
10 , 8 , 138
10 , 9 , 194
10 , 10 , 95
10 , 11 , 192
10 , 12 , 121
10 , 13 , 78
10 , 14 , 24
10 , 15 , 24
10 , 16 , 41
10 , 17 , 13
10 , 18 , 8
10 , 19 , 21
10 , 20 , 55
10 , 21 , 5
10 , 22 , 108
11 , 0 , 459
11 , 1 , 134
11 , 2 , 364
11 , 3 , 220
