MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-13T21:40:23.234+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
1 , 0 , 849
2 , 0 , 1780
2 , 1 , 717
3 , 0 , 875
3 , 1 , 310
3 , 2 , 633
4 , 0 , 1381
4 , 1 , 415
4 , 2 , 1105
4 , 3 , 772
5 , 0 , 911
5 , 1 , 299
5 , 2 , 560
5 , 3 , 464
5 , 4 , 797
6 , 0 , 837
6 , 1 , 316
6 , 2 , 331
6 , 3 , 223
6 , 4 , 599
6 , 5 , 740
7 , 0 , 904
7 , 1 , 389
7 , 2 , 353
7 , 3 , 165
7 , 4 , 386
7 , 5 , 528
7 , 6 , 634
8 , 0 , 498
8 , 1 , 370
8 , 2 , 384
8 , 3 , 190
8 , 4 , 208
8 , 5 , 141
8 , 6 , 157
8 , 7 , 191
9 , 0 , 654
9 , 1 , 334
9 , 2 , 473
9 , 3 , 253
9 , 4 , 283
9 , 5 , 196
9 , 6 , 145
9 , 7 , 119
9 , 8 , 474
10 , 0 , 605
10 , 1 , 218
10 , 2 , 432
10 , 3 , 223
10 , 4 , 386
10 , 5 , 196
10 , 6 , 102
10 , 7 , 81
10 , 8 , 190
10 , 9 , 270
11 , 0 , 376
11 , 1 , 149
11 , 2 , 252
11 , 3 , 173
11 , 4 , 193
11 , 5 , 127
11 , 6 , 69
11 , 7 , 48
11 , 8 , 208
11 , 9 , 247
11 , 10 , 131
12 , 0 , 383
12 , 1 , 119
12 , 2 , 289
12 , 3 , 350
12 , 4 , 415
12 , 5 , 310
12 , 6 , 208
12 , 7 , 91
12 , 8 , 99
12 , 9 , 123
12 , 10 , 167
12 , 11 , 177
13 , 0 , 317
13 , 1 , 91
13 , 2 , 200
13 , 3 , 197
13 , 4 , 287
13 , 5 , 352
13 , 6 , 202
13 , 7 , 135
13 , 8 , 96
13 , 9 , 87
13 , 10 , 97
13 , 11 , 101
13 , 12 , 242
14 , 3 , 1
14 , 4 , 2
14 , 5 , 2
15 , 0 , 150
15 , 1 , 27
15 , 2 , 67
15 , 3 , 86
15 , 4 , 167
15 , 5 , 214
15 , 6 , 180
15 , 7 , 130
15 , 8 , 23
15 , 9 , 36
15 , 10 , 39
15 , 11 , 40
15 , 12 , 73
15 , 13 , 105
16 , 0 , 309
16 , 1 , 55
16 , 2 , 83
16 , 3 , 74
16 , 4 , 189
16 , 5 , 302
16 , 6 , 256
16 , 7 , 150
16 , 8 , 39
16 , 9 , 30
16 , 10 , 49
16 , 11 , 24
16 , 12 , 62
16 , 13 , 105
16 , 14 , 3
16 , 15 , 160
17 , 0 , 167
17 , 1 , 54
17 , 2 , 53
17 , 3 , 40
17 , 4 , 168
17 , 5 , 220
17 , 6 , 223
17 , 7 , 244
17 , 8 , 43
17 , 9 , 31
17 , 10 , 21
17 , 11 , 14
17 , 12 , 44
17 , 13 , 62
17 , 15 , 72
17 , 16 , 136
18 , 0 , 73
18 , 1 , 29
18 , 2 , 26
18 , 3 , 21
18 , 4 , 47
18 , 5 , 49
18 , 6 , 93
18 , 7 , 65
18 , 8 , 13
18 , 9 , 4
18 , 10 , 11
18 , 11 , 1
18 , 12 , 14
18 , 13 , 6
18 , 15 , 31
18 , 16 , 103
18 , 17 , 80
19 , 0 , 198
19 , 1 , 93
19 , 2 , 47
19 , 3 , 35
19 , 4 , 65
19 , 5 , 90
19 , 6 , 133
19 , 7 , 131
19 , 8 , 39
19 , 9 , 28
19 , 10 , 19
19 , 11 , 6
19 , 12 , 16
19 , 13 , 19
19 , 15 , 21
19 , 16 , 22
19 , 17 , 61
19 , 18 , 5
20 , 0 , 208
20 , 1 , 123
20 , 2 , 135
20 , 3 , 38
20 , 4 , 114
20 , 5 , 59
20 , 6 , 74
20 , 7 , 76
20 , 8 , 90
20 , 9 , 112
20 , 10 , 38
20 , 11 , 27
20 , 12 , 21
20 , 13 , 27
20 , 15 , 6
20 , 16 , 9
20 , 17 , 19
20 , 18 , 2
20 , 19 , 34
21 , 0 , 112
21 , 1 , 39
21 , 2 , 27
21 , 3 , 19
21 , 4 , 51
21 , 5 , 58
21 , 6 , 99
21 , 7 , 112
21 , 8 , 20
21 , 9 , 7
21 , 10 , 9
21 , 11 , 11
21 , 12 , 28
21 , 13 , 17
21 , 15 , 30
21 , 16 , 35
21 , 17 , 55
21 , 18 , 24
21 , 19 , 19
21 , 20 , 3
22 , 0 , 328
22 , 1 , 186
22 , 2 , 218
22 , 3 , 98
22 , 4 , 165
22 , 5 , 92
22 , 6 , 83
22 , 7 , 59
22 , 8 , 322
22 , 9 , 448
22 , 10 , 134
22 , 11 , 168
22 , 12 , 63
22 , 13 , 75
22 , 15 , 25
22 , 16 , 22
22 , 17 , 25
22 , 18 , 7
22 , 19 , 12
22 , 20 , 32
22 , 21 , 6
