ID_INT,PROGR_USC,PROGR_SPOST,SESSO,FASCIA_ETA,COD_ZONA_RES,SCOPO,COD_ZONA_PAR,PROV_PAR,ORA_PAR,COD_ZONA_ARR,PROV_ARR,ORA_ARR,USO_MEZZ,MEZZO1,MEZZO2,MEZZO3,PAX_AUTO,NUM_LIN_URB,COD_ALTROURB,COD_ZONA_2M,PROV_2M,ORA_2MEZZO,COD_ZONA_3M,PROV_3M,ORA_3MEZZO,TASSO_CAMP
7571008,1,1,2,2,T000,1,Q001,1,02/02/2017 07:35,Q022,1,02/02/2017 08:05,1,4,,,,,,,,,,,,1.029473981
7571008,1,2,2,2,T000,8,Q022,1,02/02/2017 14:40,Q001,1,02/02/2017 15:10,1,4,,,,,,,,,,,,1.029473981
7571031,1,1,1,1,T000,7,Q003,1,02/02/2017 15:05,Q002,1,02/02/2017 15:35,1,3,,,0,,,,,,,,,1.000834028
7571031,1,2,1,1,T000,11,Q002,1,02/02/2017 01:00,Q003,1,02/02/2017 01:30,1,3,,,0,,,,,,,,,1.000834028
7571038,1,3,2,2,T000,8,Q015,1,02/02/2017 16:00,Q017,1,02/02/2017 16:20,1,3,,,1,,,,,,,,,1.548039711
7571038,2,1,2,2,T000,4,Q017,1,02/02/2017 16:30,Q019,1,02/02/2017 16:40,1,3,,,1,,,,,,,,,1.548039711
7571038,2,2,2,2,T000,8,Q019,1,02/02/2017 19:15,Q017,1,02/02/2017 19:30,1,3,,,1,,,,,,,,,1.548039711
7571040,1,1,2,2,T000,4,Q013,1,02/02/2017 10:00,Q019,1,02/02/2017 10:40,1,4,,,,,,,,,,,,1.022964509
7571040,1,2,2,2,T000,8,Q019,1,02/02/2017 12:20,Q013,1,02/02/2017 13:00,1,4,,,,,,,,,,,,1.022964509
7571042,1,1,2,2,T000,1,Q016,1,02/02/2017 07:35,Q023,1,02/02/2017 08:15,1,3,,,0,,,,,,,,,1.548039711
7571042,1,2,2,2,T000,8,Q023,1,02/02/2017 14:10,Q016,1,02/02/2017 14:40,1,3,,,0,,,,,,,,,1.548039711
7571042,2,1,2,2,T000,4,Q016,1,02/02/2017 16:00,Q015,1,02/02/2017 16:10,1,3,,,0,,,,,,,,,1.548039711
7571042,2,2,2,2,T000,8,Q015,1,02/02/2017 18:45,Q016,1,02/02/2017 19:00,1,3,,,0,,,,,,,,,1.548039711
7571045,1,1,2,2,T000,1,Q012,1,02/02/2017 07:30,Q001,1,02/02/2017 08:00,1,6,19,,,1,,Q014,1,02/02/2017 07:40,,,,1.033408834
7571045,1,2,2,2,T000,8,Q001,1,02/02/2017 18:00,Q012,1,02/02/2017 19:00,1,19,6,,,1,,Q014,1,02/02/2017 18:40,,,,1.033408834
7571047,1,1,1,2,T000,5,Q003,1,02/02/2017 07:45,Q011,1,02/02/2017 08:00,1,3,,,1,,,,,,,,,1.00479904
7571049,1,1,2,2,T000,7,Q009,1,02/02/2017 10:00,Q002,1,02/02/2017 11:30,2,,,,,,,,,,,,,0.996309963
7571049,1,2,2,2,T000,8,Q002,1,02/02/2017 12:55,Q009,1,02/02/2017 13:10,2,,,,,,,,,,,,,0.996309963
7571051,1,1,2,2,T000,4,Q012,1,02/02/2017 09:00,Q012,1,02/02/2017 09:15,1,3,,,0,,,,,,,,,1.033408834
7571051,1,2,2,2,T000,8,Q012,1,02/02/2017 12:00,Q012,1,02/02/2017 12:10,1,3,,,0,,,,,,,,,1.033408834
7571052,1,1,2,1,T000,7,Q023,1,02/02/2017 15:00,Q012,1,02/02/2017 15:15,1,6,,,,1,,,,,,,,1.012943163
7571052,1,2,2,1,T000,8,Q012,1,02/02/2017 18:40,Q023,1,02/02/2017 19:00,1,6,,,,1,,,,,,,,1.012943163
7571052,2,1,2,1,T000,7,Q023,1,02/02/2017 21:00,Q009,1,02/02/2017 21:30,1,1,6,,,1,,Q009,1,02/02/2017 21:15,,,,1.012943163
7571052,2,2,2,1,T000,7,Q009,1,02/02/2017 22:20,Q012,1,02/02/2017 22:40,2,,,,,,,,,,,,,1.012943163
7571052,2,3,2,1,T000,11,Q012,1,02/02/2017 01:00,Q023,1,02/02/2017 01:30,1,6,,,,1,,,,,,,,1.012943163
7571055,1,1,2,2,T000,1,Q016,1,02/02/2017 08:00,Q008,1,02/02/2017 08:50,1,6,,,,1,,,,,,,,1.548039711
7571055,1,2,2,2,T000,8,Q008,1,02/02/2017 15:00,Q016,1,02/02/2017 16:00,1,6,,,,1,,,,,,,,1.548039711
7571065,1,1,1,2,T000,1,Q019,1,02/02/2017 07:30,Q019,1,02/02/2017 07:35,2,,,,,,,,,,,,,0.994282873
7571065,1,2,1,2,T000,8,Q019,1,02/02/2017 14:45,Q019,1,02/02/2017 15:00,2,,,,,,,,,,,,,0.994282873
7571067,1,1,1,2,T000,5,Q016,1,02/02/2017 07:30,Q017,1,02/02/2017 07:35,1,3,,,2,,,,,,,,,1.48280919
7571067,1,4,1,2,T000,8,Q017,1,02/02/2017 18:50,Q016,1,02/02/2017 19:00,1,3,,,3,,,,,,,,,1.48280919
7571073,1,1,1,4,T000,6,Q023,1,02/02/2017 08:30,Q013,1,02/02/2017 08:50,1,5,,,,,,,,,,,,0.971585701
7571073,1,2,1,4,T000,8,Q013,1,02/02/2017 11:30,Q023,1,02/02/2017 12:00,1,5,,,,,,,,,,,,0.971585701
7571075,1,1,2,2,T000,4,Q005,1,02/02/2017 09:00,Q013,1,02/02/2017 09:10,1,3,,,0,,,,,,,,,0.995280995
7571075,1,2,2,2,T000,8,Q013,1,02/02/2017 11:50,Q005,1,02/02/2017 12:00,1,3,,,0,,,,,,,,,0.995280995
7571081,1,1,1,2,T000,1,Q015,1,02/02/2017 06:00,Q006,1,02/02/2017 06:15,1,3,,,0,,,,,,,,,0.991295938
7571081,1,2,1,2,T000,8,Q006,1,02/02/2017 14:45,Q015,1,02/02/2017 15:00,1,3,,,0,,,,,,,,,0.991295938
