DAYS,SESSO,FASCIA,SCOPO,COMBO,ENOJY,CAR2GO,TOTAL
afternoon,['1'],['3'],['10'],['1']['3']['10'],1.958338063,1.954145343,1.955902291
afternoon,['2'],['1'],['1'],['2']['1']['1'],1.948915881,1.965609007,1.9586138
afternoon,['1'],['2'],['10'],['1']['2']['10'],1.972187535,1.952180143,1.960564184
afternoon,['2'],['1'],['2'],['2']['1']['2'],1.972187535,1.971504606,1.971790786
afternoon,['2'],['1'],['6'],['2']['1']['6'],1.968100806,1.974779939,1.971981067
afternoon,['1'],['1'],['2'],['1']['1']['2'],1.977636508,1.978464688,1.978117641
afternoon,['1'],['3'],['11'],['1']['3']['11'],1.980815075,1.977236438,1.978736056
afternoon,['2'],['2'],['10'],['2']['2']['10'],1.975252583,1.983050154,1.979782604
afternoon,['1'],['4'],['3'],['1']['4']['3'],1.985696447,1.979938588,1.982351402
afternoon,['1'],['1'],['10'],['1']['1']['10'],1.984220683,1.986653019,1.985633756
afternoon,['1'],['1'],['5'],['1']['1']['5'],1.988875014,1.992384852,1.990914064
afternoon,['1'],['1'],['6'],['1']['1']['6'],1.989102055,1.992794268,1.991247057
afternoon,['1'],['4'],['11'],['1']['4']['11'],1.995005108,1.992466735,1.993530433
afternoon,['1'],['3'],['3'],['1']['3']['3'],1.997048473,1.994595701,1.995623528
afternoon,['2'],['1'],['10'],['2']['1']['10'],1.996594392,1.997625384,1.99719335
afternoon,['2'],['4'],['11'],['2']['4']['11'],1.997161993,1.998198567,1.997764194
afternoon,['2'],['3'],['10'],['2']['3']['10'],1.997275514,1.998444217,1.997954475
alldays,['1'],['2'],['8'],['1']['2']['8'],0.820707743,0.814242953,0.801960619
alldays,['2'],['2'],['8'],['2']['2']['8'],0.890772327,0.872455143,0.862973247
alldays,['2'],['2'],['1'],['2']['2']['1'],0.901632896,0.880889018,0.873735452
alldays,['1'],['2'],['1'],['1']['2']['1'],0.885524886,0.909138349,0.889727113
alldays,['1'],['3'],['8'],['1']['3']['8'],0.956900587,0.933375742,0.929257247
alldays,['2'],['3'],['8'],['2']['3']['8'],0.97742928,0.972535621,0.963173579
alldays,['1'],['4'],['8'],['1']['4']['8'],1.084671503,1.06540936,1.064376605
alldays,['2'],['4'],['8'],['2']['4']['8'],1.09734023,1.065129357,1.065286681
alldays,['1'],['2'],['7'],['1']['2']['7'],1.093370926,1.056395774,1.065648891
alldays,['1'],['3'],['4'],['1']['3']['4'],1.140573597,1.116568961,1.120182572
alldays,['2'],['2'],['4'],['2']['2']['4'],1.178009984,1.144463883,1.155751139
alldays,['1'],['1'],['8'],['1']['1']['8'],1.16599129,1.175727099,1.162837679
alldays,['2'],['3'],['4'],['2']['3']['4'],1.181515337,1.160006978,1.164413343
alldays,['2'],['3'],['1'],['2']['3']['1'],1.151885116,1.185629582,1.165735074
alldays,['1'],['4'],['4'],['1']['4']['4'],1.19424568,1.16611988,1.172185464
alldays,['2'],['1'],['8'],['2']['1']['8'],1.181968417,1.180653081,1.173240649
alldays,['2'],['2'],['7'],['2']['2']['7'],1.226894688,1.181947862,1.19999933
alldays,['1'],['2'],['4'],['1']['2']['4'],1.215735765,1.201247546,1.202629875
alldays,['1'],['3'],['1'],['1']['3']['1'],1.227297634,1.192555509,1.203823691
alldays,['2'],['4'],['4'],['2']['4']['4'],1.247475483,1.211874527,1.219824503
alldays,['2'],['2'],['5'],['2']['2']['5'],1.270238652,1.244423622,1.246396951
alldays,['1'],['4'],['7'],['1']['4']['7'],1.310197002,1.26434148,1.280595821
alldays,['1'],['3'],['7'],['1']['3']['7'],1.334518546,1.247706276,1.284243026
alldays,['2'],['1'],['3'],['2']['1']['3'],1.305858895,1.290866156,1.288693476
alldays,['1'],['2'],['5'],['1']['2']['5'],1.33236736,1.328894282,1.324727712
alldays,['1'],['2'],['2'],['1']['2']['2'],1.392676531,1.346073968,1.364901135
alldays,['2'],['3'],['7'],['2']['3']['7'],1.393212877,1.361343746,1.375545003
alldays,['1'],['1'],['3'],['1']['1']['3'],1.386265884,1.380193534,1.382426276
alldays,['2'],['4'],['7'],['2']['4']['7'],1.422355125,1.357617859,1.384694447
alldays,['1'],['2'],['3'],['1']['2']['3'],1.396939029,1.435046607,1.417727213
alldays,['1'],['1'],['7'],['1']['1']['7'],1.451319571,1.430169782,1.431918794
alldays,['2'],['2'],['6'],['2']['2']['6'],1.471630206,1.46291224,1.462220544
alldays,['2'],['1'],['7'],['2']['1']['7'],1.517315939,1.458957817,1.483306044
alldays,['2'],['2'],['2'],['2']['2']['2'],1.553603357,1.467232829,1.5007576
alldays,['2'],['2'],['9'],['2']['2']['9'],1.529839724,1.531541595,1.527472769
alldays,['2'],['4'],['9'],['2']['4']['9'],1.519772006,1.537860039,1.52833222
alldays,['2'],['3'],['6'],['2']['3']['6'],1.538667606,1.537967446,1.536947259
alldays,['2'],['4'],['6'],['2']['4']['6'],1.550544147,1.555248036,1.55197263
alldays,['1'],['3'],['5'],['1']['3']['5'],1.567420617,1.590754525,1.580356663
alldays,['1'],['3'],['2'],['1']['3']['2'],1.592218099,1.573553323,1.581870565
alldays,['1'],['2'],['9'],['1']['2']['9'],1.618611573,1.591271282,1.596256672
alldays,['2'],['2'],['3'],['2']['2']['3'],1.636823193,1.565556736,1.597313901
alldays,['1'],['2'],['11'],['1']['2']['11'],1.623712127,1.597035005,1.608922642
alldays,['1'],['4'],['6'],['1']['4']['6'],1.621248316,1.602180292,1.610520514
alldays,['2'],['3'],['9'],['2']['3']['9'],1.628992742,1.605628421,1.616039835
alldays,['2'],['3'],['5'],['2']['3']['5'],1.634108636,1.627597537,1.630302993
alldays,['2'],['4'],['5'],['2']['4']['5'],1.650671269,1.640701664,1.643668421
alldays,['1'],['4'],['9'],['1']['4']['9'],1.645172959,1.655497135,1.649905747
alldays,['2'],['1'],['4'],['2']['1']['4'],1.689986254,1.651012335,1.665400629
alldays,['1'],['3'],['9'],['1']['3']['9'],1.693252168,1.643367449,1.665596662
alldays,['1'],['2'],['6'],['1']['2']['6'],1.726758787,1.670879656,1.692667628
alldays,['1'],['3'],['6'],['1']['3']['6'],1.702347117,1.704941184,1.695938187
alldays,['1'],['4'],['5'],['1']['4']['5'],1.727296216,1.697085798,1.702339119
alldays,['2'],['3'],['2'],['2']['3']['2'],1.743625784,1.67737755,1.706898537
alldays,['2'],['2'],['11'],['2']['2']['11'],1.802577591,1.743304313,1.769717178
alldays,['1'],['1'],['4'],['1']['1']['4'],1.789761981,1.769920914,1.778762325
alldays,['2'],['1'],['9'],['2']['1']['9'],1.833934496,1.789841829,1.809490036
alldays,['1'],['4'],['2'],['1']['4']['2'],1.85677522,1.812753373,1.832370022
alldays,['1'],['4'],['1'],['1']['4']['1'],1.91159296,1.854655413,1.880027449
alldays,['1'],['1'],['11'],['1']['1']['11'],1.895966183,1.874227421,1.883914467
alldays,['1'],['1'],['9'],['1']['1']['9'],1.888338828,1.881554463,1.884577655
alldays,['2'],['4'],['1'],['2']['4']['1'],1.936149323,1.89521167,1.913453966
alldays,['1'],['1'],['1'],['1']['1']['1'],1.927571132,1.905329966,1.915240889
alldays,['2'],['4'],['2'],['2']['4']['2'],1.936294015,1.928108593,1.931756113
alldays,['2'],['4'],['3'],['2']['4']['3'],1.938050994,1.930634013,1.933939106
alldays,['1'],['4'],['10'],['1']['4']['10'],1.955434749,1.925134578,1.938636688
alldays,['1'],['2'],['10'],['1']['2']['10'],1.962462664,1.931049379,1.945047505
alldays,['2'],['4'],['10'],['2']['4']['10'],1.951383362,1.941018143,1.945637006
alldays,['2'],['1'],['11'],['2']['1']['11'],1.958059882,1.946517578,1.951660964
alldays,['2'],['3'],['11'],['2']['3']['11'],1.959362113,1.945869609,1.951882026
alldays,['1'],['3'],['10'],['1']['3']['10'],1.960498982,1.96000864,1.960227142
alldays,['2'],['1'],['5'],['2']['1']['5'],1.954483913,1.96592344,1.960825853
alldays,['2'],['1'],['1'],['2']['1']['1'],1.955765474,1.966853858,1.961912745
alldays,['2'],['1'],['2'],['2']['1']['2'],1.968229689,1.96592344,1.966951131
alldays,['2'],['1'],['6'],['2']['1']['6'],1.973128559,1.98031169,1.977110803
alldays,['1'],['1'],['2'],['1']['1']['2'],1.97868888,1.976789393,1.977635827
alldays,['2'],['2'],['10'],['2']['2']['10'],1.977593352,1.984614873,1.981486002
alldays,['1'],['3'],['11'],['1']['3']['11'],1.982533563,1.984116435,1.983411089
alldays,['1'],['4'],['3'],['1']['4']['3'],1.985944169,1.983202632,1.984424293
alldays,['1'],['1'],['10'],['1']['1']['10'],1.9829263,1.985927427,1.98459009
alldays,['1'],['1'],['5'],['1']['1']['5'],1.991607842,1.99217452,1.991922002
alldays,['1'],['3'],['3'],['1']['3']['3'],1.993447503,1.991061341,1.992124643
alldays,['1'],['1'],['6'],['1']['1']['6'],1.991525161,1.992988636,1.992336494
alldays,['1'],['4'],['11'],['1']['4']['11'],1.994687723,1.992307437,1.99336812
alldays,['2'],['1'],['10'],['2']['1']['10'],1.997168164,1.998105935,1.997688053
alldays,['2'],['4'],['11'],['2']['4']['11'],1.997622911,1.998870207,1.998314397
alldays,['2'],['3'],['10'],['2']['3']['10'],1.997684922,1.999052967,1.99844335
afternoon,['2'],['2'],['1'],['2']['2']['1'],0.948951674,0.929585165,0.923567608
morning,['2'],['2'],['1'],['2']['2']['1'],0.849971989,0.870592039,0.833460322
afternoon,['2'],['2'],['8'],['2']['2']['8'],0.872679402,0.832043583,0.829247979
morning,['2'],['2'],['8'],['2']['2']['8'],1.001228464,1.00260741,0.975753798
morning,['1'],['2'],['7'],['1']['2']['7'],1.083625692,1.055711937,1.047141453
morning,['1'],['3'],['8'],['1']['3']['8'],1.076531875,1.056391567,1.048275731
morning,['2'],['3'],['8'],['2']['3']['8'],1.083136218,1.086247598,1.062562082
morning,['1'],['3'],['4'],['1']['3']['4'],1.116838764,1.096713095,1.092947403
morning,['1'],['3'],['1'],['1']['3']['1'],1.178719258,1.125958829,1.128517609
morning,['2'],['3'],['1'],['2']['3']['1'],1.143325821,1.166347329,1.146044653
morning,['2'],['2'],['4'],['2']['2']['4'],1.157228683,1.15821369,1.147095124
morning,['2'],['4'],['8'],['2']['4']['8'],1.169048255,1.179553151,1.154275455
morning,['1'],['4'],['8'],['1']['4']['8'],1.186971429,1.18257211,1.167376154
morning,['1'],['4'],['4'],['1']['4']['4'],1.192577269,1.203709915,1.176307696
morning,['2'],['3'],['4'],['2']['3']['4'],1.199902381,1.193538671,1.179377596
morning,['2'],['2'],['7'],['2']['2']['7'],1.227068398,1.190250362,1.192098559
morning,['1'],['2'],['4'],['1']['2']['4'],1.189097836,1.211030982,1.19241484
morning,['1'],['3'],['7'],['1']['3']['7'],1.318767213,1.224965457,1.254583818
morning,['1'],['4'],['7'],['1']['4']['7'],1.281047871,1.24678435,1.254617931
morning,['2'],['4'],['4'],['2']['4']['4'],1.286646154,1.266485293,1.257445878
morning,['1'],['1'],['8'],['1']['1']['8'],1.266612048,1.285515418,1.272137
morning,['2'],['1'],['3'],['2']['1']['3'],1.27492588,1.29020263,1.273775051
morning,['2'],['1'],['8'],['2']['1']['8'],1.290944327,1.306015819,1.291555564
morning,['2'],['2'],['5'],['2']['2']['5'],1.328906137,1.310165039,1.308020445
morning,['2'],['4'],['7'],['2']['4']['7'],1.390577778,1.286702913,1.322745845
morning,['1'],['2'],['5'],['1']['2']['5'],1.347407994,1.360097586,1.344261925
morning,['1'],['2'],['2'],['1']['2']['2'],1.382879762,1.343332345,1.349952456
morning,['2'],['3'],['7'],['2']['3']['7'],1.38576612,1.356780892,1.3605983
morning,['1'],['1'],['3'],['1']['1']['3'],1.39036422,1.398746991,1.385829839
morning,['1'],['1'],['7'],['1']['1']['7'],1.419294118,1.389373253,1.395737816
morning,['2'],['1'],['7'],['2']['1']['7'],1.46421164,1.392190207,1.42202769
morning,['1'],['2'],['3'],['1']['2']['3'],1.39951746,1.44266325,1.422529919
morning,['2'],['2'],['6'],['2']['2']['6'],1.451580952,1.463964935,1.453134747
morning,['2'],['2'],['2'],['2']['2']['2'],1.548190476,1.46189655,1.488390217
morning,['2'],['2'],['3'],['2']['2']['3'],1.562901695,1.467016927,1.503178668
morning,['2'],['4'],['9'],['2']['4']['9'],1.517371429,1.531446432,1.525315489
morning,['2'],['4'],['6'],['2']['4']['6'],1.517999386,1.535023306,1.5273725
morning,['1'],['3'],['2'],['1']['3']['2'],1.530303457,1.526560105,1.528110924
morning,['2'],['3'],['6'],['2']['3']['6'],1.534218315,1.564355713,1.551870206
morning,['1'],['2'],['9'],['1']['2']['9'],1.56334652,1.563958855,1.562471723
morning,['2'],['2'],['9'],['2']['2']['9'],1.562645593,1.569214293,1.565090023
morning,['1'],['4'],['6'],['1']['4']['6'],1.580862622,1.559951808,1.567061715
morning,['1'],['3'],['5'],['1']['3']['5'],1.571371429,1.627625686,1.603796878
morning,['2'],['3'],['9'],['2']['3']['9'],1.631150101,1.623112679,1.62500828
morning,['2'],['1'],['4'],['2']['1']['4'],1.649016977,1.609571965,1.625913488
morning,['1'],['3'],['9'],['1']['3']['9'],1.671396933,1.615918466,1.638902427
morning,['2'],['4'],['5'],['2']['4']['5'],1.648412479,1.644449978,1.639426002
morning,['2'],['3'],['5'],['2']['3']['5'],1.66054824,1.663851842,1.662483206
morning,['1'],['3'],['6'],['1']['3']['6'],1.660495238,1.675405759,1.66903145
morning,['1'],['2'],['11'],['1']['2']['11'],1.683961905,1.664465864,1.672511239
morning,['1'],['2'],['6'],['1']['2']['6'],1.713066667,1.655529209,1.679366182
morning,['1'],['4'],['9'],['1']['4']['9'],1.674221245,1.691800289,1.684517534
morning,['1'],['4'],['5'],['1']['4']['5'],1.687752381,1.700388015,1.694450933
morning,['2'],['3'],['2'],['2']['3']['2'],1.729219048,1.683921034,1.695971229
morning,['1'],['1'],['4'],['1']['1']['4'],1.744152381,1.711683552,1.725134939
morning,['2'],['1'],['9'],['2']['1']['9'],1.781180952,1.736688942,1.755121366
morning,['2'],['2'],['11'],['2']['2']['11'],1.829180952,1.785488252,1.802910262
morning,['1'],['4'],['1'],['1']['4']['1'],1.862247619,1.790579866,1.820270825
morning,['1'],['4'],['2'],['1']['4']['2'],1.852342857,1.80534598,1.824816136
morning,['1'],['1'],['9'],['1']['1']['9'],1.913904762,1.889739168,1.899750639
morning,['2'],['4'],['1'],['2']['4']['1'],1.921828571,1.889523604,1.902907105
morning,['1'],['1'],['1'],['1']['1']['1'],1.920609524,1.902996335,1.910293236
morning,['2'],['4'],['2'],['2']['4']['2'],1.911314286,1.910109937,1.910608882
morning,['1'],['1'],['11'],['1']['1']['11'],1.927619048,1.900517353,1.91174521
morning,['1'],['4'],['10'],['1']['4']['10'],1.937066667,1.9055831,1.918626306
morning,['2'],['4'],['3'],['2']['4']['3'],1.932190476,1.910002156,1.91919447
morning,['1'],['2'],['10'],['1']['2']['10'],1.942857143,1.911834447,1.924686721
morning,['2'],['4'],['10'],['2']['4']['10'],1.945904762,1.931558526,1.937501973
morning,['2'],['1'],['2'],['2']['1']['2'],1.94727619,1.949019185,1.948297087
morning,['2'],['1'],['1'],['2']['1']['1'],1.944533333,1.9673421,1.957892743
morning,['2'],['1'],['11'],['2']['1']['11'],1.96647619,1.951929295,1.957955873
morning,['2'],['1'],['5'],['2']['1']['5'],1.956266667,1.967881009,1.963069348
morning,['2'],['3'],['11'],['2']['3']['11'],1.967085714,1.96270748,1.964521322
morning,['1'],['3'],['10'],['1']['3']['10'],1.966933333,1.964970899,1.965783908
morning,['2'],['2'],['10'],['2']['2']['10'],1.968914286,1.979737012,1.975253306
morning,['2'],['1'],['6'],['2']['1']['6'],1.970133333,1.981892649,1.977020927
morning,['1'],['1'],['2'],['1']['1']['2'],1.981104762,1.980060358,1.98049304
morning,['1'],['3'],['11'],['1']['3']['11'],1.977142857,1.983724941,1.980998075
morning,['1'],['3'],['3'],['1']['3']['3'],1.983695238,1.981030394,1.982134402
morning,['1'],['1'],['10'],['1']['1']['10'],1.982780952,1.989868506,1.986932231
morning,['1'],['4'],['3'],['1']['4']['3'],1.989333333,1.98598836,1.987374136
morning,['1'],['1'],['5'],['1']['1']['5'],1.990247619,1.987605087,1.988699852
morning,['1'],['1'],['6'],['1']['1']['6'],1.991314286,1.993425307,1.99255074
morning,['1'],['4'],['11'],['1']['4']['11'],1.995428571,1.99299418,1.994002715
morning,['2'],['1'],['10'],['2']['1']['10'],1.998171429,1.99827549,1.998232379
morning,['2'],['4'],['11'],['2']['4']['11'],1.997561905,1.999568873,1.998737414
morning,['2'],['3'],['10'],['2']['3']['10'],1.997561905,1.999568873,1.998737414
weekdays,['1'],['2'],['8'],['1']['2']['8'],0.814565847,0.821764612,0.803906122
