DAYS,SESSO,FASCIA,SCOPO,COMBO,ENOJY,CAR2GO,TOTAL
weekdays,['1'],['3'],['6'],['1']['3']['6'],1.700927547,1.705976938,1.697119365
weekdays,['2'],['3'],['2'],['2']['3']['2'],1.739852692,1.674164478,1.69954467
weekdays,['2'],['2'],['11'],['2']['2']['11'],1.804274531,1.739096198,1.767152725
weekdays,['1'],['1'],['4'],['1']['1']['4'],1.788907057,1.767618881,1.776782544
weekdays,['2'],['1'],['9'],['2']['1']['9'],1.830234274,1.78172711,1.802607401
weekdays,['1'],['4'],['2'],['1']['4']['2'],1.855615205,1.807603132,1.828270308
weekdays,['1'],['4'],['1'],['1']['4']['1'],1.90877914,1.845968765,1.873005986
weekdays,['1'],['1'],['11'],['1']['1']['11'],1.89775276,1.870729253,1.882361735
weekdays,['1'],['1'],['9'],['1']['1']['9'],1.889331037,1.880922175,1.884541836
weekdays,['2'],['4'],['1'],['2']['4']['1'],1.933002445,1.888993394,1.907937437
weekdays,['1'],['1'],['1'],['1']['1']['1'],1.926606567,1.901614244,1.912372386
weekdays,['2'],['4'],['2'],['2']['4']['2'],1.935086171,1.926680957,1.930299048
weekdays,['2'],['4'],['3'],['2']['4']['3'],1.938240699,1.929524476,1.933276443
weekdays,['1'],['4'],['10'],['1']['4']['10'],1.952884657,1.919353428,1.93378721
weekdays,['1'],['2'],['10'],['1']['2']['10'],1.960322399,1.925281071,1.940364887
weekdays,['2'],['4'],['10'],['2']['4']['10'],1.951032457,1.940154862,1.944837209
weekdays,['2'],['1'],['11'],['2']['1']['11'],1.956531176,1.944332648,1.949583601
weekdays,['2'],['3'],['11'],['2']['3']['11'],1.958267614,1.944923225,1.950667422
weekdays,['1'],['3'],['10'],['1']['3']['10'],1.959685705,1.959884509,1.959798932
weekdays,['2'],['1'],['1'],['2']['1']['1'],1.952682073,1.966818321,1.960733261
weekdays,['2'],['1'],['5'],['2']['1']['5'],1.953666054,1.967168293,1.961356148
weekdays,['2'],['1'],['2'],['2']['1']['2'],1.965965821,1.964915351,1.965367534
weekdays,['2'],['1'],['6'],['2']['1']['6'],1.972130175,1.980882803,1.977115165
weekdays,['1'],['1'],['2'],['1']['1']['2'],1.978554994,1.976486285,1.977376778
weekdays,['2'],['2'],['10'],['2']['2']['10'],1.976181863,1.984076294,1.980678074
weekdays,['1'],['3'],['11'],['1']['3']['11'],1.982317276,1.982982633,1.982696225
weekdays,['1'],['4'],['3'],['1']['4']['3'],1.986687311,1.983201365,1.984701918
weekdays,['1'],['1'],['10'],['1']['1']['10'],1.983359139,1.986722954,1.985274973
weekdays,['1'],['1'],['5'],['1']['1']['5'],1.991173108,1.991797541,1.991528749
weekdays,['1'],['3'],['3'],['1']['3']['3'],1.99308319,1.991075725,1.991939854
weekdays,['1'],['1'],['6'],['1']['1']['6'],1.99123099,1.993241174,1.992375874
weekdays,['1'],['4'],['11'],['1']['4']['11'],1.994645984,1.992628724,1.993497069
weekdays,['2'],['1'],['10'],['2']['1']['10'],1.997163818,1.998118903,1.997707779
weekdays,['2'],['4'],['11'],['2']['4']['11'],1.99768475,1.998950085,1.998405412
weekdays,['2'],['3'],['10'],['2']['3']['10'],1.997771572,1.999059451,1.998505073
weekends,['1'],['2'],['8'],['1']['2']['8'],0.845986087,0.804918123,0.811994325
weekends,['2'],['2'],['8'],['2']['2']['8'],0.908381792,0.867270747,0.875767583
weekends,['2'],['2'],['1'],['2']['2']['1'],0.915132433,0.880952071,0.889950625
weekends,['1'],['2'],['1'],['1']['2']['1'],0.907584023,0.909180798,0.896146997
weekends,['1'],['3'],['8'],['1']['3']['8'],0.966128382,0.932638721,0.944007724
weekends,['2'],['3'],['8'],['2']['3']['8'],0.989224387,0.961132584,0.966208085
weekends,['2'],['4'],['8'],['2']['4']['8'],1.111556798,1.061308147,1.07904079
weekends,['1'],['4'],['8'],['1']['4']['8'],1.100299742,1.072983812,1.08088046
weekends,['1'],['2'],['7'],['1']['2']['7'],1.114367299,1.067750438,1.086913827
weekends,['1'],['3'],['4'],['1']['3']['4'],1.152816641,1.133110246,1.138326466
weekends,['2'],['2'],['4'],['2']['2']['4'],1.190001196,1.154879948,1.168076746
weekends,['2'],['3'],['1'],['2']['3']['1'],1.167454594,1.176415829,1.16859299
weekends,['1'],['1'],['8'],['1']['1']['8'],1.191400248,1.165728012,1.172803531
weekends,['2'],['1'],['8'],['2']['1']['8'],1.197640205,1.174460003,1.177700189
weekends,['2'],['3'],['4'],['2']['3']['4'],1.201835443,1.177880344,1.185173901
weekends,['1'],['4'],['4'],['1']['4']['4'],1.21079926,1.180210615,1.191031398
weekends,['1'],['2'],['4'],['1']['2']['4'],1.234095019,1.195891186,1.212246301
weekends,['2'],['2'],['7'],['2']['2']['7'],1.246963669,1.196306734,1.21758483
weekends,['1'],['3'],['1'],['1']['3']['1'],1.2359116,1.212300701,1.219036479
weekends,['2'],['4'],['4'],['2']['4']['4'],1.255545973,1.219398731,1.232335668
weekends,['2'],['2'],['5'],['2']['2']['5'],1.281348406,1.237145634,1.254020995
weekends,['2'],['1'],['3'],['2']['1']['3'],1.307862253,1.284572278,1.292604316
weekends,['1'],['4'],['7'],['1']['4']['7'],1.326517275,1.281799805,1.301769666
weekends,['1'],['3'],['7'],['1']['3']['7'],1.342349233,1.270432136,1.303786898
weekends,['1'],['2'],['5'],['1']['2']['5'],1.334269611,1.334025595,1.333566968
weekends,['1'],['2'],['2'],['1']['2']['2'],1.399485759,1.368227367,1.382651529
weekends,['1'],['1'],['3'],['1']['1']['3'],1.395466616,1.377569901,1.386000103
weekends,['2'],['3'],['7'],['2']['3']['7'],1.401432425,1.375876602,1.387237506
weekends,['2'],['4'],['7'],['2']['4']['7'],1.426856875,1.377939031,1.400985647
weekends,['1'],['2'],['3'],['1']['2']['3'],1.408339696,1.428813126,1.416892135
weekends,['1'],['1'],['7'],['1']['1']['7'],1.468035315,1.432773109,1.449382184
weekends,['2'],['2'],['6'],['2']['2']['6'],1.484460518,1.473386646,1.475452503
weekends,['2'],['1'],['7'],['2']['1']['7'],1.527858371,1.488004983,1.506321188
weekends,['2'],['2'],['2'],['2']['2']['2'],1.551754069,1.496923026,1.521975951
weekends,['2'],['4'],['9'],['2']['4']['9'],1.518372514,1.530463027,1.523247924
weekends,['2'],['2'],['9'],['2']['2']['9'],1.52696241,1.529354938,1.52687378
weekends,['2'],['3'],['6'],['2']['3']['6'],1.55469189,1.53754718,1.543423002
weekends,['2'],['4'],['6'],['2']['4']['6'],1.556094033,1.551184133,1.552730354
weekends,['1'],['3'],['5'],['1']['3']['5'],1.574390195,1.578173232,1.575440302
weekends,['1'],['3'],['2'],['1']['3']['2'],1.604590651,1.594618057,1.599490689
weekends,['1'],['2'],['11'],['1']['2']['11'],1.618951175,1.603080265,1.609562517
weekends,['1'],['2'],['9'],['1']['2']['9'],1.629728752,1.605114029,1.617140838
weekends,['2'],['2'],['3'],['2']['2']['3'],1.644727373,1.593814204,1.618690492
weekends,['1'],['4'],['6'],['1']['4']['6'],1.627792613,1.619734737,1.623671833
weekends,['2'],['3'],['9'],['2']['3']['9'],1.638625678,1.61543845,1.625692092
weekends,['2'],['3'],['5'],['2']['3']['5'],1.636041618,1.620812676,1.626778941
weekends,['2'],['4'],['5'],['2']['4']['5'],1.651934901,1.634141982,1.638675043
weekends,['1'],['4'],['9'],['1']['4']['9'],1.639710669,1.651538993,1.645604687
weekends,['1'],['3'],['9'],['1']['3']['9'],1.683833635,1.644920525,1.663933557
weekends,['2'],['1'],['4'],['2']['1']['4'],1.684339964,1.655839668,1.669764976
weekends,['1'],['3'],['6'],['1']['3']['6'],1.705895118,1.703040774,1.704435413
weekends,['1'],['2'],['6'],['1']['2']['6'],1.728028933,1.697028334,1.712175296
weekends,['2'],['3'],['2'],['2']['3']['2'],1.753056058,1.703593642,1.727761089
weekends,['1'],['4'],['5'],['1']['4']['5'],1.746473779,1.720870767,1.733380456
weekends,['2'],['2'],['11'],['2']['2']['11'],1.798336347,1.756599862,1.776992401
weekends,['1'],['1'],['4'],['1']['1']['4'],1.791898734,1.777194195,1.784378866
weekends,['2'],['1'],['9'],['2']['1']['9'],1.84318264,1.815480304,1.829015727
weekends,['1'],['4'],['2'],['1']['4']['2'],1.859674503,1.82902557,1.844000707
weekends,['1'],['1'],['9'],['1']['1']['9'],1.885858951,1.883552177,1.884679272
weekends,['1'],['1'],['11'],['1']['1']['11'],1.891500904,1.885279889,1.888319491
weekends,['1'],['4'],['1'],['1']['4']['1'],1.918625678,1.882100898,1.899946987
weekends,['1'],['1'],['1'],['1']['1']['1'],1.929981917,1.9170698,1.923378689
weekends,['2'],['4'],['1'],['2']['4']['1'],1.944014467,1.914858328,1.929104082
weekends,['2'],['4'],['3'],['2']['4']['3'],1.937576854,1.934139599,1.935819049
weekends,['2'],['4'],['2'],['2']['4']['2'],1.939312839,1.932619212,1.935889733
weekends,['2'],['4'],['10'],['2']['4']['10'],1.952260398,1.943745681,1.94790599
weekends,['1'],['4'],['10'],['1']['4']['10'],1.961808318,1.943400138,1.952394416
weekends,['2'],['3'],['11'],['2']['3']['11'],1.962097649,1.94885971,1.955327796
weekends,['2'],['1'],['11'],['2']['1']['11'],1.961880651,1.953420871,1.957554338
weekends,['1'],['2'],['10'],['1']['2']['10'],1.967811935,1.949274361,1.958331861
weekends,['2'],['1'],['5'],['2']['1']['5'],1.956528029,1.961990325,1.959321435
weekends,['1'],['3'],['10'],['1']['3']['10'],1.962531646,1.960400829,1.961441951
weekends,['2'],['1'],['1'],['2']['1']['1'],1.963471971,1.966966137,1.96525888
weekends,['2'],['1'],['2'],['2']['1']['2'],1.973887884,1.9691085,1.971443718
weekends,['2'],['1'],['6'],['2']['1']['6'],1.97562387,1.978507256,1.977098427
weekends,['1'],['1'],['2'],['1']['1']['2'],1.979023508,1.977747063,1.978370737
weekends,['1'],['1'],['10'],['1']['1']['10'],1.981844485,1.98341396,1.982647111
weekends,['1'],['4'],['3'],['1']['4']['3'],1.984086799,1.983206634,1.983636685
weekends,['2'],['2'],['10'],['2']['2']['10'],1.981121157,1.986316517,1.983778053
weekends,['1'],['3'],['11'],['1']['3']['11'],1.983074141,1.987698687,1.985439124
weekends,['1'],['1'],['6'],['1']['1']['6'],1.992260398,1.992190739,1.992224775
weekends,['1'],['3'],['3'],['1']['3']['3'],1.994358047,1.991015895,1.992648878
weekends,['1'],['4'],['11'],['1']['4']['11'],1.994792043,1.991292329,1.993002297
weekends,['1'],['1'],['5'],['1']['1']['5'],1.992694394,1.993365584,1.993037639
weekends,['2'],['1'],['10'],['2']['1']['10'],1.997179024,1.998064962,1.99763209
weekends,['2'],['4'],['11'],['2']['4']['11'],1.997468354,1.99861783,1.998056194
weekends,['2'],['3'],['10'],['2']['3']['10'],1.997468354,1.999032481,1.998268245
,,,,,,,
