SESSO,FASCIA,SCOPO,ENOJY,CAR2GO,TOTAL
alldays,['2'],['3'],['10'],1.99768492202,1.99905296737,1.99844335039
alldays,['2'],['3'],['8'],0.9774292802,0.972535620744,0.963173579003
alldays,['2'],['2'],['1'],0.901632895994,0.880889018331,0.873735452465
alldays,['2'],['2'],['4'],1.17800998442,1.14446388346,1.15575113899
alldays,['2'],['2'],['5'],1.27023865233,1.24442362238,1.24639695067
alldays,['2'],['2'],['2'],1.55360335686,1.4672328292,1.50075760018
alldays,['2'],['2'],['7'],1.22689468825,1.18194786207,1.19999933011
alldays,['2'],['2'],['3'],1.6368231931,1.56555673579,1.59731390126
alldays,['2'],['2'],['9'],1.52983972351,1.5315415952,1.52747276868
alldays,['2'],['2'],['11'],1.80257759129,1.74330431315,1.76971717795
alldays,['2'],['2'],['6'],1.47163020566,1.46291224006,1.46222054378
alldays,['2'],['2'],['10'],1.97759335242,1.9846148734,1.98148600167
alldays,['2'],['2'],['8'],0.890772326539,0.872455142604,0.862973246984
weekends,['1'],['1'],['1'],1.92998191682,1.91706979959,1.92337868881
weekends,['1'],['1'],['4'],1.79189873418,1.77719419489,1.78437886552
weekends,['1'],['1'],['5'],1.99269439421,1.99336558397,1.99303763916
weekends,['1'],['1'],['2'],1.97902350814,1.97774706289,1.97837073688
weekends,['1'],['1'],['7'],1.46803531539,1.43277310924,1.4493821844
weekends,['1'],['1'],['3'],1.39546661605,1.37756990077,1.38600010349
weekends,['1'],['1'],['9'],1.88585895118,1.88355217692,1.88467927196
weekends,['1'],['1'],['11'],1.89150090416,1.88527988943,1.88831949108
weekends,['1'],['1'],['6'],1.99226039783,1.99219073946,1.9922247747
weekends,['1'],['1'],['10'],1.98184448463,1.98341395992,1.9826471108
weekends,['1'],['1'],['8'],1.19140024837,1.16572801226,1.17280353079
weekends,['1'],['4'],['1'],1.91862567812,1.88210089841,1.8999469871
weekends,['1'],['4'],['4'],1.21079926012,1.18021061488,1.19103139811
weekends,['1'],['4'],['5'],1.74647377939,1.7208707671,1.73338045591
weekends,['1'],['4'],['2'],1.85967450271,1.82902557015,1.84400070684
weekends,['1'],['4'],['7'],1.32651727462,1.28179980455,1.30176966557
weekends,['1'],['4'],['3'],1.98408679928,1.98320663442,1.98363668493
weekends,['1'],['4'],['9'],1.63971066908,1.65153899314,1.64560468688
weekends,['1'],['4'],['11'],1.9947920434,1.99129232896,1.99300229723
weekends,['1'],['4'],['6'],1.62779261314,1.61973473696,1.62367183321
weekends,['1'],['4'],['10'],1.96180831826,1.94340013822,1.95239441597
