TOTAL,AREA,HOUR,LONG,LAT
1,866,17,7.681649608,45.06264009
2,866,19,7.681649608,45.06264009
1,866,20,7.681649608,45.06264009
3,866,21,7.681649608,45.06264009
2,866,22,7.681649608,45.06264009
3,866,23,7.681649608,45.06264009
1,867,6,7.688003361,45.06264009
1,867,7,7.688003361,45.06264009
1,867,9,7.688003361,45.06264009
6,867,10,7.688003361,45.06264009
1,867,11,7.688003361,45.06264009
2,867,12,7.688003361,45.06264009
4,867,14,7.688003361,45.06264009
3,867,15,7.688003361,45.06264009
1,867,16,7.688003361,45.06264009
6,867,17,7.688003361,45.06264009
1,867,18,7.688003361,45.06264009
5,867,20,7.688003361,45.06264009
2,867,21,7.688003361,45.06264009
2,867,22,7.688003361,45.06264009
1,867,23,7.688003361,45.06264009
1,868,0,7.694357114,45.06264009
2,868,1,7.694357114,45.06264009
1,868,8,7.694357114,45.06264009
1,868,9,7.694357114,45.06264009
3,868,10,7.694357114,45.06264009
2,868,11,7.694357114,45.06264009
1,868,12,7.694357114,45.06264009
4,868,13,7.694357114,45.06264009
1,868,14,7.694357114,45.06264009
1,868,15,7.694357114,45.06264009
1,868,16,7.694357114,45.06264009
3,868,17,7.694357114,45.06264009
5,868,18,7.694357114,45.06264009
1,868,19,7.694357114,45.06264009
1,868,20,7.694357114,45.06264009
4,868,21,7.694357114,45.06264009
1,869,5,7.700710868,45.06264009
2,869,12,7.700710868,45.06264009
2,869,13,7.700710868,45.06264009
1,869,14,7.700710868,45.06264009
2,869,15,7.700710868,45.06264009
3,869,16,7.700710868,45.06264009
2,869,18,7.700710868,45.06264009
1,869,19,7.700710868,45.06264009
1,869,20,7.700710868,45.06264009
2,869,22,7.700710868,45.06264009
1,870,14,7.707064621,45.06264009
1,870,15,7.707064621,45.06264009
1,870,16,7.707064621,45.06264009
2,870,17,7.707064621,45.06264009
2,870,18,7.707064621,45.06264009
2,870,20,7.707064621,45.06264009
2,871,0,7.713418374,45.06264009
1,871,12,7.713418374,45.06264009
1,871,17,7.713418374,45.06264009
3,871,18,7.713418374,45.06264009
1,871,20,7.713418374,45.06264009
1,871,22,7.713418374,45.06264009
2,871,23,7.713418374,45.06264009
1,872,2,7.719772127,45.06264009
2,872,12,7.719772127,45.06264009
1,872,14,7.719772127,45.06264009
1,872,18,7.719772127,45.06264009
1,872,19,7.719772127,45.06264009
1,872,21,7.719772127,45.06264009
1,872,22,7.719772127,45.06264009
1,872,23,7.719772127,45.06264009
1,895,0,7.611758322,45.06713529
1,895,6,7.611758322,45.06713529
1,895,9,7.611758322,45.06713529
1,895,10,7.611758322,45.06713529
1,895,11,7.611758322,45.06713529
1,895,12,7.611758322,45.06713529
1,895,13,7.611758322,45.06713529
1,895,14,7.611758322,45.06713529
2,895,16,7.611758322,45.06713529
1,895,17,7.611758322,45.06713529
3,895,20,7.611758322,45.06713529
1,895,23,7.611758322,45.06713529
1,896,8,7.618112075,45.06713529
2,896,10,7.618112075,45.06713529
1,896,11,7.618112075,45.06713529
1,896,13,7.618112075,45.06713529
1,896,16,7.618112075,45.06713529
1,896,18,7.618112075,45.06713529
1,896,19,7.618112075,45.06713529
3,896,21,7.618112075,45.06713529
1,897,9,7.624465829,45.06713529
2,897,17,7.624465829,45.06713529
2,897,18,7.624465829,45.06713529
1,898,10,7.630819582,45.06713529
2,898,16,7.630819582,45.06713529
1,898,20,7.630819582,45.06713529
1,898,21,7.630819582,45.06713529
1,898,23,7.630819582,45.06713529
1,899,0,7.637173335,45.06713529
1,899,11,7.637173335,45.06713529
1,899,12,7.637173335,45.06713529
2,899,13,7.637173335,45.06713529
1,899,15,7.637173335,45.06713529
3,899,17,7.637173335,45.06713529
1,899,18,7.637173335,45.06713529
1,899,19,7.637173335,45.06713529
2,899,20,7.637173335,45.06713529
1,899,23,7.637173335,45.06713529
1,900,3,7.643527088,45.06713529
1,900,5,7.643527088,45.06713529
1,900,8,7.643527088,45.06713529
1,900,10,7.643527088,45.06713529
2,900,12,7.643527088,45.06713529
1,900,15,7.643527088,45.06713529
2,900,19,7.643527088,45.06713529
3,900,20,7.643527088,45.06713529
2,900,23,7.643527088,45.06713529
1,901,0,7.649880842,45.06713529
1,901,2,7.649880842,45.06713529
1,901,5,7.649880842,45.06713529
1,901,8,7.649880842,45.06713529
1,901,10,7.649880842,45.06713529
1,901,12,7.649880842,45.06713529
1,901,15,7.649880842,45.06713529
1,901,16,7.649880842,45.06713529
1,901,18,7.649880842,45.06713529
2,901,20,7.649880842,45.06713529
1,901,21,7.649880842,45.06713529
3,901,23,7.649880842,45.06713529
2,902,0,7.656234595,45.06713529
1,902,2,7.656234595,45.06713529
1,902,3,7.656234595,45.06713529
1,902,9,7.656234595,45.06713529
