Days,Hours,latitude,longitude
12,12,45.08583,7.69694
12,12,45.05482,7.65741
12,12,45.18843,7.6435
12,12,45.01969,7.66514
12,12,45.10588,7.65075
12,12,45.02614,7.63816
12,12,45.10538,7.66578
12,12,45.03428,7.64068
12,12,45.05306,7.6912
12,12,45.07427,7.66987
12,12,45.07592,7.67249
12,12,45.07749,7.66554
12,12,45.02383,7.63735
12,12,45.11053,7.64947
12,12,45.06908,7.67404
12,12,45.04658,7.67034
12,12,45.05701,7.66044
12,12,45.07385,7.64844
12,12,45.10534,7.66548
12,12,45.06594,7.6569
12,12,45.07042,7.63661
12,12,45.06546,7.69015
12,12,45.04766,7.6781
12,12,45.0731,7.67715
12,12,45.06925,7.67806
12,12,45.03246,7.64797
12,12,45.10054,7.66431
12,12,45.06994,7.63464
12,12,45.06045,7.67954
12,12,45.07668,7.68205
12,12,45.08697,7.69207
12,12,45.06668,7.68136
12,12,45.09267,7.69656
12,12,45.0545,7.61241
12,12,45.03353,7.65505
12,12,45.06194,7.70501
12,12,45.05568,7.65763
12,12,45.07933,7.63786
12,12,45.05828,7.65396
12,12,45.06458,7.63841
12,12,45.06883,7.64138
12,12,45.07265,7.71866
12,12,45.05871,7.63828
12,12,45.08715,7.69191
12,12,45.06386,7.68572
12,12,45.05756,7.64483
12,12,45.02034,7.66611
12,12,45.1032,7.63798
12,12,45.08468,7.65901
12,12,45.06914,7.69396
12,12,45.06913,7.7015
12,12,45.06935,7.63778
12,12,45.07327,7.72223
12,12,45.05873,7.67875
12,12,45.03327,7.66758
12,12,45.07557,7.6746
12,12,45.0553,7.68245
12,12,45.07819,7.64365
12,12,45.0655,7.68659
12,12,45.03338,7.66765
12,12,45.02752,7.64003
12,12,45.02407,7.65584
12,12,45.06992,7.68733
12,12,45.06906,7.67769
12,12,45.1111,7.65555
12,12,45.09106,7.68415
12,12,45.07407,7.6688
12,12,45.08238,7.65765
12,12,45.06838,7.70064
12,12,45.04772,7.67134
12,12,45.0304,7.67822
12,12,45.07923,7.68368
12,12,45.04624,7.63789
12,12,45.03599,7.65274
12,12,45.01365,7.62323
12,12,45.07225,7.67846
12,12,45.09858,7.66592
12,12,45.06936,7.67236
12,12,45.06169,7.6625
12,12,45.04767,7.68164
12,12,45.07163,7.6695
12,12,45.05231,7.65963
12,12,45.06559,7.65665
12,12,45.07552,7.63583
12,12,45.05957,7.67262
12,12,45.06899,7.72313
12,12,45.05427,7.67916
12,12,45.07085,7.64809
12,12,45.07387,7.69026
12,12,45.06975,7.69426
12,12,45.07305,7.69411
12,12,45.07562,7.64273
12,12,45.06369,7.62359
12,12,45.0676,7.69125
12,12,45.09306,7.67421
12,12,45.05014,7.63989
12,12,45.05576,7.68189
12,12,45.07883,7.69028
12,12,45.05073,7.62906
12,12,45.0782,7.69916
12,12,45.04901,7.67179
12,12,45.06498,7.67628
12,12,45.05902,7.66812
12,12,45.05931,7.64758
12,12,45.05423,7.66723
12,12,45.0998,7.65142
12,12,45.07594,7.7263
12,12,45.05204,7.65383
12,12,45.07106,7.6339
12,12,45.06708,7.6615
12,12,45.06138,7.65757
12,12,45.01526,7.62055
12,12,45.06191,7.67426
12,12,45.04893,7.67652
12,12,45.01792,7.62226
12,12,45.09292,7.67857
12,12,45.06875,7.68927
12,12,45.03341,7.66769
12,12,45.11124,7.6469
12,12,45.07029,7.6876
12,12,45.09576,7.67897
12,12,45.07878,7.63728
12,12,45.06866,7.67731
12,12,45.05912,7.67198
12,12,45.02774,7.63836
12,12,45.06739,7.67117
12,12,45.06704,7.67668
12,12,45.06587,7.68572
12,12,45.08913,7.68878
12,12,45.06554,7.64787
12,12,45.06824,7.69854
12,12,45.07995,7.69721
12,12,45.05568,7.65763
12,12,45.07352,7.68179
12,12,45.05344,7.64172
12,12,45.10435,7.66454
12,12,45.04507,7.64363
12,12,45.06729,7.69676
12,12,45.02153,7.65662
12,12,45.09923,7.67277
12,12,45.05568,7.65763
12,12,45.07216,7.70871
12,12,45.06856,7.62334
12,12,45.18843,7.6435
12,12,45.08004,7.67053
12,12,45.05861,7.65973
12,12,45.10588,7.65075
12,12,45.06094,7.66209
12,12,45.0659,7.64608
12,12,45.04463,7.62476
12,12,45.0327,7.64116
12,12,45.06318,7.66449
12,12,45.06403,7.67149
12,12,45.05141,7.66122
12,12,45.04974,7.63126
12,12,45.01727,7.6575
12,12,45.03599,7.64475
12,12,45.06932,7.66385
12,13,45.06127,7.64026
12,13,45.06133,7.70169
12,13,45.05391,7.6661
12,13,45.07571,7.70818
12,13,45.053,7.65025
12,13,45.07222,7.67331
12,13,45.04602,7.67028
12,13,45.09028,7.67402
12,13,45.01578,7.62158
12,13,45.06188,7.67949
12,13,45.06591,7.65512
12,13,45.06415,7.63793
12,13,45.06839,7.66927
12,13,45.08795,7.65768
12,13,45.0721,7.69207
12,13,45.06675,7.61711
12,13,45.0672,7.66453
12,13,45.07667,7.68205
12,13,45.08198,7.69574
12,13,45.06145,7.66828
12,13,45.04889,7.66534
12,13,45.06779,7.69672
12,13,45.0694,7.64126
12,13,45.03198,7.65413
12,13,45.07464,7.61689
12,13,45.08713,7.69167
12,13,45.05924,7.66633
12,13,45.08298,7.69175
12,13,45.04926,7.66733
12,13,45.05361,7.66833
12,13,45.06791,7.67789
12,13,45.04981,7.63153
12,13,45.09738,7.70277
12,13,45.07031,7.67081
12,13,45.06278,7.6768
12,13,45.07104,7.69299
12,13,45.06737,7.69954
12,13,45.06979,7.71311
12,13,45.09273,7.67773
12,13,45.06875,7.68175
12,13,45.05599,7.66761
12,13,45.0688,7.69965
12,13,45.02107,7.61365
12,13,45.06805,7.65391
12,13,45.06078,7.69979
12,13,45.1054,7.66637
12,13,45.0582,7.68682
12,13,45.06901,7.67572
12,13,45.06408,7.65132
12,13,45.09837,7.68288
12,13,45.06591,7.65697
12,13,45.08317,7.66181
12,13,45.06251,7.70273
12,13,45.06173,7.63972
12,13,45.07555,7.70259
12,13,45.06923,7.61972
12,13,45.09171,7.68293
12,13,45.06766,7.68485
12,13,45.07052,7.65343
12,13,45.06791,7.67789
12,13,45.05231,7.65963
12,13,45.07367,7.72442
12,13,45.10071,7.67239
12,13,45.06162,7.693
12,13,45.06905,7.67139
12,13,45.06597,7.65532
12,13,45.05204,7.65383
12,13,45.06198,7.69961
12,13,45.05396,7.68238
12,13,45.06554,7.69843
12,13,45.05241,7.65891
12,13,45.06565,7.65669
12,13,45.0668,7.67109
12,13,45.06254,7.69044
12,13,45.09146,7.65551
12,13,45.04678,7.64192
12,13,45.05625,7.65885
12,13,45.06419,7.69072
12,13,45.07551,7.65778
12,13,45.07819,7.64365
12,13,45.02779,7.64864
12,13,45.06175,7.69126
12,13,45.06549,7.66294
12,13,45.03679,7.64117
12,13,45.06776,7.67664
12,13,45.06993,7.67556
12,13,45.10588,7.65075
12,13,45.06317,7.70201
12,13,45.07727,7.67826
12,13,45.0698,7.6345
12,13,45.07359,7.67114
