AREA,HOUR,TOTAL,LONG,LAT
619,6,1,7.637173335,45.03566891
619,9,1,7.637173335,45.03566891
619,16,2,7.637173335,45.03566891
619,18,1,7.637173335,45.03566891
620,0,1,7.643527088,45.03566891
620,1,1,7.643527088,45.03566891
620,2,1,7.643527088,45.03566891
620,12,2,7.643527088,45.03566891
620,15,1,7.643527088,45.03566891
620,17,2,7.643527088,45.03566891
620,19,1,7.643527088,45.03566891
620,20,1,7.643527088,45.03566891
621,2,1,7.649880842,45.03566891
621,9,1,7.649880842,45.03566891
621,12,2,7.649880842,45.03566891
621,13,1,7.649880842,45.03566891
621,14,2,7.649880842,45.03566891
621,15,1,7.649880842,45.03566891
621,17,1,7.649880842,45.03566891
622,6,2,7.656234595,45.03566891
622,9,1,7.656234595,45.03566891
622,15,1,7.656234595,45.03566891
622,17,1,7.656234595,45.03566891
622,22,1,7.656234595,45.03566891
623,0,1,7.662588348,45.03566891
623,20,1,7.662588348,45.03566891
623,22,1,7.662588348,45.03566891
624,0,1,7.668942101,45.03566891
624,17,2,7.668942101,45.03566891
624,21,1,7.668942101,45.03566891
625,1,2,7.675295855,45.03566891
625,7,1,7.675295855,45.03566891
625,16,1,7.675295855,45.03566891
625,18,1,7.675295855,45.03566891
625,20,2,7.675295855,45.03566891
626,10,1,7.681649608,45.03566891
626,14,1,7.681649608,45.03566891
626,17,1,7.681649608,45.03566891
626,21,1,7.681649608,45.03566891
657,14,1,7.624465829,45.0401641
657,16,1,7.624465829,45.0401641
658,2,1,7.630819582,45.0401641
658,3,1,7.630819582,45.0401641
658,6,1,7.630819582,45.0401641
658,14,1,7.630819582,45.0401641
658,16,3,7.630819582,45.0401641
658,23,1,7.630819582,45.0401641
659,7,1,7.637173335,45.0401641
659,9,2,7.637173335,45.0401641
659,11,3,7.637173335,45.0401641
659,13,1,7.637173335,45.0401641
659,15,1,7.637173335,45.0401641
659,16,1,7.637173335,45.0401641
659,19,1,7.637173335,45.0401641
660,1,1,7.643527088,45.0401641
660,11,1,7.643527088,45.0401641
660,13,1,7.643527088,45.0401641
660,19,1,7.643527088,45.0401641
660,20,1,7.643527088,45.0401641
660,21,1,7.643527088,45.0401641
661,1,1,7.649880842,45.0401641
661,11,2,7.649880842,45.0401641
661,19,1,7.649880842,45.0401641
661,20,2,7.649880842,45.0401641
662,8,1,7.656234595,45.0401641
662,10,1,7.656234595,45.0401641
662,17,1,7.656234595,45.0401641
662,18,1,7.656234595,45.0401641
662,22,1,7.656234595,45.0401641
663,12,1,7.662588348,45.0401641
663,15,1,7.662588348,45.0401641
663,16,2,7.662588348,45.0401641
663,17,1,7.662588348,45.0401641
663,19,2,7.662588348,45.0401641
663,20,2,7.662588348,45.0401641
663,21,2,7.662588348,45.0401641
664,4,2,7.668942101,45.0401641
664,6,1,7.668942101,45.0401641
664,7,1,7.668942101,45.0401641
664,12,1,7.668942101,45.0401641
664,15,1,7.668942101,45.0401641
664,16,4,7.668942101,45.0401641
664,17,1,7.668942101,45.0401641
664,19,1,7.668942101,45.0401641
664,20,2,7.668942101,45.0401641
665,0,1,7.675295855,45.0401641
665,5,1,7.675295855,45.0401641
665,6,1,7.675295855,45.0401641
665,8,1,7.675295855,45.0401641
665,10,2,7.675295855,45.0401641
665,11,2,7.675295855,45.0401641
665,12,2,7.675295855,45.0401641
665,14,1,7.675295855,45.0401641
665,15,1,7.675295855,45.0401641
665,16,1,7.675295855,45.0401641
665,17,2,7.675295855,45.0401641
665,18,3,7.675295855,45.0401641
665,19,1,7.675295855,45.0401641
665,20,2,7.675295855,45.0401641
665,21,1,7.675295855,45.0401641
665,22,2,7.675295855,45.0401641
665,23,1,7.675295855,45.0401641
666,0,1,7.681649608,45.0401641
666,4,1,7.681649608,45.0401641
666,9,1,7.681649608,45.0401641
666,10,1,7.681649608,45.0401641
666,11,1,7.681649608,45.0401641
666,13,2,7.681649608,45.0401641
666,14,1,7.681649608,45.0401641
666,16,1,7.681649608,45.0401641
666,20,1,7.681649608,45.0401641
666,22,1,7.681649608,45.0401641
667,11,1,7.688003361,45.0401641
667,12,1,7.688003361,45.0401641
697,17,1,7.624465829,45.0446593
698,6,1,7.630819582,45.0446593
698,13,1,7.630819582,45.0446593
698,16,1,7.630819582,45.0446593
698,20,1,7.630819582,45.0446593
699,2,1,7.637173335,45.0446593
699,5,1,7.637173335,45.0446593
699,9,1,7.637173335,45.0446593
699,11,1,7.637173335,45.0446593
699,15,1,7.637173335,45.0446593
699,19,1,7.637173335,45.0446593
699,23,2,7.637173335,45.0446593
700,3,1,7.643527088,45.0446593
700,7,1,7.643527088,45.0446593
700,9,1,7.643527088,45.0446593
700,11,1,7.643527088,45.0446593
700,15,1,7.643527088,45.0446593
700,16,1,7.643527088,45.0446593
700,17,1,7.643527088,45.0446593
700,18,1,7.643527088,45.0446593
700,19,2,7.643527088,45.0446593
700,20,2,7.643527088,45.0446593
700,22,1,7.643527088,45.0446593
701,2,1,7.649880842,45.0446593
701,8,1,7.649880842,45.0446593
701,9,1,7.649880842,45.0446593
701,10,1,7.649880842,45.0446593
701,11,2,7.649880842,45.0446593
701,17,2,7.649880842,45.0446593
701,23,1,7.649880842,45.0446593
702,13,1,7.656234595,45.0446593
702,19,1,7.656234595,45.0446593
703,2,1,7.662588348,45.0446593
703,8,2,7.662588348,45.0446593
703,9,1,7.662588348,45.0446593
703,10,2,7.662588348,45.0446593
703,12,1,7.662588348,45.0446593
703,14,2,7.662588348,45.0446593
703,15,1,7.662588348,45.0446593
703,18,1,7.662588348,45.0446593
703,19,1,7.662588348,45.0446593
703,20,2,7.662588348,45.0446593
703,21,1,7.662588348,45.0446593
703,22,1,7.662588348,45.0446593
704,0,2,7.668942101,45.0446593
704,1,1,7.668942101,45.0446593
704,6,2,7.668942101,45.0446593
704,9,1,7.668942101,45.0446593
704,10,1,7.668942101,45.0446593
704,13,2,7.668942101,45.0446593
704,17,2,7.668942101,45.0446593
704,18,1,7.668942101,45.0446593
704,19,1,7.668942101,45.0446593
705,7,1,7.675295855,45.0446593
705,9,1,7.675295855,45.0446593
705,10,1,7.675295855,45.0446593
