Days,Hours,latitude,longitude
12,6,45.04941,7.66706
12,6,45.07478,7.72641
12,6,45.09027,7.67452
12,6,45.10334,7.64349
12,6,45.05537,7.66369
12,6,45.04909,7.67655
12,6,45.06187,7.67952
12,6,45.03239,7.66737
12,6,45.06941,7.66389
12,6,45.03602,7.64133
12,6,45.05888,7.64197
12,6,45.07373,7.66547
12,6,45.07401,7.61971
12,6,45.10588,7.65075
12,6,45.06809,7.68721
12,6,45.06761,7.69125
12,6,45.05699,7.67956
12,6,45.07083,7.67644
12,6,45.06941,7.66394
12,6,45.06142,7.67588
12,6,45.07058,7.66681
12,6,45.06797,7.69061
12,6,45.02339,7.6516
12,6,45.08083,7.63799
12,6,45.09328,7.65794
12,6,45.18843,7.6435
12,6,45.05575,7.65313
12,6,45.07045,7.66699
12,6,45.05986,7.6782
12,6,45.07579,7.66762
12,6,45.11171,7.64477
12,6,45.075,7.67958
12,6,45.18843,7.6435
12,6,45.07404,7.66894
12,6,45.06776,7.66491
12,6,45.02675,7.65593
12,6,45.06891,7.66465
12,6,45.06281,7.67671
12,6,45.09946,7.68556
12,6,45.18843,7.6435
12,6,45.10969,7.65295
12,6,45.08548,7.65063
12,6,45.05768,7.66943
12,6,45.07233,7.71004
12,6,45.07494,7.61895
12,6,45.04049,7.65436
12,6,45.06857,7.70045
12,6,45.08493,7.70111
12,6,45.0677,7.68496
12,6,45.07452,7.67362
12,6,45.06691,7.71927
12,6,45.02704,7.65605
12,6,45.07401,7.61971
12,6,45.07633,7.68797
12,7,45.07015,7.69396
12,7,45.10588,7.65075
12,7,45.08927,7.65961
12,7,45.07757,7.69742
12,7,45.10326,7.63832
12,7,45.06809,7.68721
12,7,45.02847,7.63822
12,7,45.0718,7.66185
12,7,45.04726,7.67941
12,7,45.03835,7.64423
12,7,45.07623,7.65957
12,7,45.10396,7.6837
12,7,45.0759,7.66863
12,7,45.10969,7.65295
12,7,45.10588,7.65075
12,7,45.06626,7.68016
12,7,45.06857,7.70045
12,7,45.04926,7.66733
12,7,45.08359,7.62482
12,7,45.06891,7.6636
12,7,45.10344,7.67577
12,7,45.11103,7.65551
12,7,45.06891,7.66465
12,7,45.06879,7.66356
12,7,45.06776,7.65632
12,7,45.18843,7.6435
12,7,45.06545,7.67479
12,7,45.03781,7.6213
12,7,45.06091,7.68451
12,7,45.06686,7.64353
12,7,45.06183,7.67949
12,7,45.06221,7.69896
12,7,45.07407,7.66724
12,7,45.06344,7.67899
12,7,45.084,7.6828
12,7,45.07829,7.67867
12,7,45.08673,7.65245
12,7,45.0683,7.62224
12,7,45.06441,7.70275
12,7,45.06916,7.66643
12,7,45.06959,7.66527
12,7,45.06758,7.65588
12,7,45.07729,7.67701
12,7,45.06305,7.67079
12,7,45.07382,7.61016
12,7,45.08176,7.64392
12,7,45.07277,7.69307
12,7,45.06281,7.67671
12,7,45.06426,7.66615
12,7,45.06855,7.67741
12,7,45.07687,7.6765
12,7,45.06682,7.68645
12,7,45.07948,7.66891
12,7,45.07446,7.67362
12,7,45.06916,7.69409
12,7,45.0788,7.65837
12,7,45.07148,7.70435
12,7,45.0743,7.69084
12,7,45.05139,7.64123
12,7,45.06267,7.66263
12,7,45.07722,7.67708
12,7,45.05444,7.62959
12,7,45.03602,7.64133
12,7,45.07899,7.68014
12,7,45.06014,7.68097
12,7,45.09966,7.6855
12,7,45.09497,7.68176
12,7,45.10326,7.63832
12,7,45.07272,7.66838
12,7,45.10969,7.65295
12,7,45.03715,7.62744
12,7,45.07222,7.67331
12,7,45.05185,7.66402
12,7,45.06149,7.67927
12,7,45.02844,7.66994
12,7,45.06936,7.66503
12,7,45.0692,7.66379
12,7,45.06883,7.6114
12,7,45.06559,7.6385
12,7,45.18843,7.6435
12,7,45.10969,7.65295
12,7,45.10281,7.65346
12,7,45.07251,7.60922
12,7,45.09188,7.66339
12,7,45.06111,7.63996
12,7,45.06779,7.66275
12,8,45.10191,7.66905
12,8,45.07662,7.64382
12,8,45.08227,7.69136
12,8,45.09381,7.66248
12,8,45.0961,7.70949
12,8,45.0706,7.67577
12,8,45.10969,7.65295
12,8,45.07362,7.67593
12,8,45.07572,7.6447
12,8,45.06381,7.65981
12,8,45.09976,7.64698
12,8,45.10321,7.66329
12,8,45.07277,7.69307
12,8,45.03932,7.66965
12,8,45.05064,7.63329
12,8,45.07633,7.68797
12,8,45.08773,7.67028
12,8,45.06039,7.69153
12,8,45.06442,7.68548
12,8,45.06161,7.69977
12,8,45.06893,7.67759
12,8,45.07149,7.67502
12,8,45.05533,7.69504
12,8,45.18843,7.6435
12,8,45.06932,7.66385
12,8,45.05552,7.66575
12,8,45.07283,7.67615
12,8,45.07278,7.69127
12,8,45.06291,7.6888
12,8,45.05851,7.64232
12,8,45.08105,7.69875
12,8,45.07452,7.6666
12,8,45.06594,7.66912
12,8,45.06129,7.70379
12,8,45.07424,7.60738
12,8,45.06441,7.67159
12,8,45.06699,7.68651
12,8,45.07572,7.6447
12,8,45.07189,7.67617
12,8,45.08664,7.67247
12,8,45.06895,7.66477
12,8,45.09373,7.66168
12,8,45.06573,7.68175
12,8,45.05659,7.66414
12,8,45.04673,7.67078
12,8,45.10148,7.66856
12,8,45.08332,7.64389
12,8,45.0687,7.67739
12,8,45.06128,7.68851
12,8,45.07117,7.67747
12,8,45.06287,7.68508
12,8,45.05671,7.66383
12,8,45.05185,7.66402
12,8,45.06603,7.71534
12,8,45.07196,7.6679
12,8,45.07067,7.71176
12,8,45.05482,7.66324
12,8,45.06281,7.67671
12,8,45.07758,7.71667
12,8,45.0273,7.64001
12,8,45.06926,7.69364
12,8,45.06808,7.65675
12,8,45.06102,7.66211
12,8,45.04331,7.63021
12,8,45.06711,7.69168
12,8,45.06022,7.6855
12,8,45.05287,7.65987
12,8,45.07656,7.67635
12,8,45.05851,7.64232
12,8,45.06844,7.67845
12,8,45.06909,7.6714
12,8,45.06059,7.67137
12,8,45.05461,7.65978
12,8,45.06656,7.69247
12,8,45.05014,7.66819
12,8,45.02462,7.63675
12,8,45.02832,7.63868
12,8,45.07568,7.72401
12,8,45.069,7.66366
12,8,45.05574,7.64349
12,8,45.06387,7.65931
12,8,45.07708,7.6962
12,8,45.10588,7.65075
12,8,45.06876,7.67782
12,8,45.02675,7.65593
12,8,45.01719,7.6512
12,8,45.08277,7.63651
12,8,45.06806,7.67058
12,8,45.04099,7.64107
12,8,45.03864,7.63037
12,8,45.01646,7.61155
12,8,45.08348,7.69037
12,8,45.06235,7.68803
12,8,45.10969,7.65295
12,8,45.05023,7.68211
12,8,45.06911,7.67578
12,8,45.05503,7.64974
12,8,45.06416,7.70465
12,8,45.05077,7.68078
12,8,45.09966,7.6855
12,8,45.05064,7.65065
12,8,45.07193,7.67795
12,8,45.08247,7.63882
12,8,45.08808,7.70514
12,8,45.06679,7.6912
12,8,45.05369,7.6315
12,8,45.02493,7.65603
12,8,45.06779,7.67496
12,8,45.05195,7.6634
12,8,45.05381,7.67121
12,8,45.07299,7.67286
12,8,45.03959,7.63257
12,8,45.07897,7.66329
12,8,45.07746,7.69667
12,8,45.07147,7.67722
12,8,45.07477,7.66862
12,8,45.02819,7.63801
12,8,45.06426,7.66615
12,8,45.09398,7.65634
12,8,45.06919,7.66373
12,8,45.06375,7.703
12,8,45.05587,7.64418
12,8,45.07722,7.68494
12,8,45.07544,7.68491
12,8,45.04612,7.6746
12,8,45.05237,7.6525
12,8,45.06195,7.68932
12,8,45.07889,7.66841
12,8,45.06908,7.67404
12,8,45.07923,7.65848
12,8,45.06916,7.66643
12,8,45.06265,7.68805
12,8,45.05613,7.69229
12,8,45.05574,7.64349
12,8,45.06271,7.70258
12,8,45.07632,7.6253
12,8,45.07058,7.66681
12,8,45.07579,7.69617
12,8,45.06776,7.67664
12,8,45.07808,7.69195
12,8,45.11162,7.64428
12,8,45.06782,7.66285
12,8,45.05965,7.68256
12,8,45.05381,7.67121
12,8,45.06489,7.67276
12,8,45.06197,7.6984
12,8,45.05354,7.66581
12,8,45.0399,7.68126
12,8,45.02823,7.63807
12,8,45.06942,7.66404
12,8,45.06876,7.71728
12,8,45.06229,7.6589
12,8,45.05185,7.66402
12,8,45.06064,7.68672
12,8,45.09142,7.65715
12,8,45.04301,7.62856
12,8,45.05442,7.68323
12,8,45.08537,7.6506
12,8,45.10969,7.65295
12,8,45.05991,7.66986
12,8,45.04367,7.67042
12,8,45.08146,7.64897
12,8,45.04778,7.67128
12,8,45.06978,7.67165
12,9,45.05886,7.68918
12,9,45.10747,7.63911
12,9,45.04296,7.6295
12,9,45.08247,7.63882
12,9,45.06348,7.68498
12,9,45.06018,7.66689
12,9,45.08868,7.65882
12,9,45.06905,7.68897
12,9,45.07822,7.67177
12,9,45.06369,7.65185
12,9,45.05629,7.66789
12,9,45.06899,7.68889
12,9,45.05562,7.68491
12,9,45.10747,7.65064
12,9,45.07729,7.67701
12,9,45.10464,7.67874
12,9,45.06875,7.68927
12,9,45.07234,7.69006
12,9,45.06556,7.64772
12,9,45.075,7.62228
12,9,45.06872,7.66434
12,9,45.0591,7.64828
12,9,45.01935,7.61183
12,9,45.04456,7.67063
12,9,45.06251,7.65884
12,9,45.06381,7.65981
12,9,45.09058,7.65678
12,9,45.11075,7.65597
12,9,45.06912,7.67128
12,9,45.04579,7.68188
12,9,45.08208,7.68955
12,9,45.07067,7.71176
12,9,45.05882,7.66651
12,9,45.06803,7.69204
12,9,45.06914,7.67594
12,9,45.08771,7.65208
12,9,45.08771,7.66925
12,9,45.04673,7.67078
12,9,45.01757,7.66509
12,9,45.05707,7.66738
12,9,45.09427,7.71666
12,9,45.08472,7.66974
12,9,45.07323,7.66958
12,9,45.06332,7.63619
12,9,45.0542,7.63457
12,9,45.03236,7.6673
12,9,45.04579,7.68188
12,9,45.06724,7.67464
12,9,45.06832,7.67531
12,9,45.07775,7.64921
12,9,45.10422,7.66366
12,9,45.06895,7.66477
12,9,45.06576,7.68178
12,9,45.07021,7.67262
12,9,45.07021,7.67262
12,9,45.06809,7.65661
12,9,45.07098,7.67038
12,9,45.06869,7.68928
12,9,45.0798,7.66031
12,9,45.06387,7.65931
12,9,45.08315,7.66196
12,9,45.06435,7.62753
12,9,45.06979,7.63324
12,9,45.05596,7.69606
12,9,45.05436,7.66488
12,9,45.06891,7.66465
12,9,45.07016,7.68333
12,9,45.06788,7.65813
12,9,45.07052,7.61413
12,9,45.07712,7.6578
12,9,45.06779,7.67496
12,9,45.06566,7.68184
12,9,45.03977,7.62087
12,9,45.05975,7.64772
12,9,45.07128,7.69979
12,9,45.0987,7.69363
12,9,45.0626,7.70279
12,9,45.07734,7.66489
12,9,45.07658,7.68034
12,9,45.06389,7.69115
12,9,45.07577,7.66726
12,9,45.08856,7.69899
12,9,45.07421,7.62278
12,9,45.06875,7.68927
12,9,45.05882,7.66651
12,9,45.09244,7.71406
12,9,45.0243,7.6442
12,9,45.07337,7.61145
12,9,45.07175,7.62709
12,9,45.05704,7.64967
12,9,45.0764,7.6777
12,9,45.0681,7.67612
12,9,45.10214,7.66621
12,9,45.06907,7.67775
12,9,45.03248,7.66738
12,9,45.07028,7.67079
12,9,45.02103,7.61341
12,9,45.05679,7.68557
12,9,45.05553,7.68171
12,9,45.07017,7.67204
12,9,45.0904,7.68457
12,9,45.0582,7.65524
12,9,45.09026,7.67441
12,9,45.06494,7.65612
12,9,45.06732,7.64991
12,9,45.06649,7.65386
12,9,45.06877,7.66434
12,9,45.10021,7.66933
12,9,45.0691,7.66363
12,9,45.07144,7.67494
12,9,45.04461,7.63355
12,9,45.06571,7.66352
12,9,45.07114,7.71348
12,9,45.05897,7.63473
12,9,45.05642,7.67034
12,9,45.10588,7.65075
12,9,45.06,7.6531
12,9,45.06047,7.66582
12,9,45.06451,7.69406
12,9,45.09633,7.70254
12,9,45.05814,7.6799
12,9,45.07272,7.66838
12,9,45.08212,7.65939
12,9,45.06925,7.67806
12,9,45.09412,7.70217
12,9,45.08601,7.70038
12,9,45.07549,7.64536
12,9,45.05585,7.64398
12,9,45.06694,7.6697
12,9,45.07554,7.67459
12,9,45.0655,7.68659
12,9,45.07058,7.66681
12,9,45.06171,7.66252
12,9,45.07176,7.67411
12,9,45.05674,7.65059
12,9,45.03466,7.65528
12,9,45.06899,7.68889
12,9,45.06326,7.69287
12,9,45.06726,7.71923
12,9,45.0676,7.66672
12,9,45.05007,7.68018
12,9,45.0687,7.66466
12,9,45.01892,7.65388
12,9,45.04515,7.66219
12,9,45.09015,7.67516
12,9,45.0549,7.68405
12,9,45.07166,7.67775
12,9,45.09063,7.65693
12,9,45.0665,7.67563
12,9,45.01548,7.62764
12,9,45.06291,7.70587
12,9,45.07488,7.65663
12,9,45.07575,7.6748
12,9,45.06462,7.68106
12,9,45.07026,7.67106
12,9,45.06512,7.67797
12,9,45.02648,7.66543
12,9,45.07584,7.67698
12,9,45.07725,7.6806
12,9,45.06805,7.68702
12,9,45.03682,7.63985
12,9,45.06764,7.69106
12,9,45.10588,7.65075
12,9,45.07087,7.69372
12,9,45.06901,7.68893
12,9,45.06974,7.66412
12,9,45.09364,7.66193
12,9,45.08332,7.64389
12,9,45.09055,7.70381
12,9,45.10969,7.65295
12,9,45.05671,7.66383
12,9,45.01493,7.61799
12,9,45.06114,7.67539
12,9,45.10738,7.6392
12,9,45.02766,7.63828
12,9,45.07848,7.67387
12,9,45.06466,7.61963
12,9,45.05777,7.67848
12,9,45.06275,7.70964
12,9,45.0655,7.69017
12,9,45.06537,7.69147
12,9,45.06775,7.63775
12,9,45.07621,7.65768
12,9,45.10505,7.70315
12,9,45.10422,7.66366
12,9,45.06699,7.68651
12,9,45.03716,7.61908
12,9,45.06858,7.67794
12,9,45.06945,7.66493
12,9,45.06576,7.68587
12,9,45.08102,7.69915
12,9,45.04463,7.62476
12,9,45.02225,7.65476
12,9,45.05032,7.66909
12,9,45.06779,7.68718
12,9,45.05162,7.64863
12,9,45.02123,7.61324
12,9,45.05929,7.6745
12,9,45.0752,7.66103
12,9,45.07693,7.62576
12,9,45.11159,7.64426
12,9,45.03022,7.67817
12,9,45.0633,7.68287
12,9,45.07752,7.61861
12,9,45.06434,7.69086
12,9,45.06596,7.63697
12,9,45.05929,7.6745
12,10,45.07357,7.67598
12,10,45.03375,7.66803
12,10,45.07253,7.66912
12,10,45.04536,7.65956
12,10,45.07202,7.64105
12,10,45.06845,7.62215
12,10,45.06328,7.6781
12,10,45.06131,7.7002
12,10,45.06623,7.68007
12,10,45.05215,7.67666
12,10,45.06874,7.66192
12,10,45.06313,7.67008
12,10,45.08486,7.70103
12,10,45.10095,7.68343
12,10,45.06545,7.69128
12,10,45.05273,7.67823
12,10,45.18843,7.6435
12,10,45.06115,7.67536
12,10,45.07723,7.68051
12,10,45.07036,7.6853
12,10,45.05873,7.64147
12,10,45.07438,7.67878
12,10,45.06451,7.69406
12,10,45.06648,7.66523
12,10,45.06427,7.68465
12,10,45.07027,7.65859
12,10,45.07033,7.63183
12,10,45.0534,7.65421
12,10,45.07776,7.67994
12,10,45.0659,7.64608
12,10,45.06326,7.69287
12,10,45.05606,7.64365
12,10,45.06962,7.67104
12,10,45.05891,7.68677
12,10,45.04718,7.67273
12,10,45.03471,7.65082
12,10,45.06386,7.70304
12,10,45.06723,7.64993
12,10,45.10588,7.65075
12,10,45.10456,7.65579
12,10,45.08748,7.67349
12,10,45.04475,7.6808
12,10,45.06926,7.70356
12,10,45.09669,7.70062
12,10,45.06729,7.69676
12,10,45.02884,7.6502
12,10,45.09449,7.69923
12,10,45.03746,7.62992
12,10,45.05564,7.64568
12,10,45.05907,7.65395
12,10,45.04727,7.67768
12,10,45.0545,7.61241
12,10,45.0651,7.6556
12,10,45.07401,7.61971
12,10,45.06716,7.69181
12,10,45.07331,7.69658
12,10,45.09758,7.65458
12,10,45.07965,7.6531
12,10,45.05533,7.69504
12,10,45.0638,7.69465
12,10,45.02648,7.66543
12,10,45.06683,7.69781
12,10,45.03654,7.63365
12,10,45.02858,7.65446
12,10,45.03518,7.64236
12,10,45.06599,7.67636
12,10,45.06921,7.67398
12,10,45.04654,7.67264
12,10,45.03809,7.61884
12,10,45.05379,7.65892
12,10,45.07117,7.69865
12,10,45.18843,7.6435
12,10,45.06977,7.66651
12,10,45.06008,7.67935
12,10,45.06932,7.66385
12,10,45.09582,7.68793
12,10,45.06297,7.66668
12,10,45.04893,7.62945
12,10,45.04654,7.67264
12,10,45.06,7.68822
12,10,45.08285,7.65888
12,10,45.0277,7.64174
12,10,45.05682,7.64761
12,10,45.07178,7.68964
12,10,45.06637,7.68415
12,10,45.06699,7.67317
12,10,45.05698,7.65848
12,10,45.07448,7.68355
12,10,45.06883,7.66468
12,10,45.01757,7.66469
12,10,45.08748,7.67349
12,10,45.07186,7.71637
12,10,45.0696,7.68281
12,10,45.06972,7.66704
12,10,45.06902,7.66369
12,10,45.05255,7.65171
12,10,45.05105,7.63961
12,10,45.06369,7.66915
12,10,45.05379,7.65892
12,10,45.07153,7.67709
12,10,45.09933,7.70939
12,10,45.06155,7.66181
12,10,45.04875,7.68086
12,10,45.07166,7.67775
12,10,45.07255,7.64495
12,10,45.04375,7.67045
12,10,45.06531,7.66084
12,10,45.04759,7.66107
12,10,45.06587,7.69014
12,10,45.04756,7.62914
12,10,45.05402,7.68407
12,10,45.18843,7.6435
12,10,45.0243,7.6442
12,10,45.04778,7.67128
12,10,45.05032,7.66909
12,10,45.09533,7.66384
12,10,45.08635,7.66902
12,10,45.07534,7.71092
12,10,45.01486,7.63777
12,10,45.0629,7.69224
12,10,45.02225,7.65476
12,10,45.08742,7.65429
12,10,45.10742,7.63915
12,10,45.05133,7.65368
12,10,45.0631,7.66298
12,10,45.06171,7.66252
12,10,45.07027,7.65859
12,10,45.07281,7.67727
12,10,45.08515,7.65371
12,10,45.04012,7.6507
12,10,45.06291,7.70587
12,10,45.08261,7.61645
12,10,45.06866,7.67558
12,10,45.065,7.69735
12,11,45.06893,7.67564
12,11,45.05415,7.66725
12,11,45.06262,7.68815
12,11,45.07247,7.69599
12,11,45.06958,7.64912
12,11,45.18843,7.6435
12,11,45.07712,7.65942
12,11,45.05742,7.64899
12,11,45.10482,7.67553
12,11,45.04356,7.66873
12,11,45.10395,7.68384
12,11,45.06895,7.67859
12,11,45.10054,7.66431
12,11,45.06914,7.69396
12,11,45.05066,7.6614
12,11,45.07069,7.67698
12,11,45.0213,7.65156
12,11,45.03307,7.66756
12,11,45.06653,7.67435
12,11,45.07334,7.72475
12,11,45.09566,7.69988
12,11,45.03248,7.66736
12,11,45.05402,7.68407
12,11,45.06496,7.68138
12,11,45.03349,7.66777
12,11,45.06997,7.72362
12,11,45.0741,7.66965
12,11,45.05606,7.64392
12,11,45.07276,7.65047
12,11,45.05847,7.68006
12,11,45.0724,7.62842
12,11,45.06366,7.6894
12,11,45.06704,7.67668
12,11,45.08092,7.69974
12,11,45.05588,7.64362
12,11,45.09121,7.69341
12,11,45.07267,7.66774
12,11,45.05774,7.66105
12,11,45.0545,7.61241
12,11,45.10098,7.67898
12,11,45.07401,7.61083
12,11,45.06304,7.66675
12,11,45.07396,7.62262
12,11,45.10588,7.65075
12,11,45.05296,7.6707
12,11,45.09236,7.68317
12,11,45.07482,7.65698
12,11,45.04797,7.6642
12,11,45.03209,7.66716
12,11,45.06014,7.66555
12,11,45.08288,7.69661
12,11,45.05031,7.66882
12,11,45.03121,7.66969
12,11,45.02156,7.65661
12,11,45.07599,7.69853
12,11,45.18843,7.6435
12,11,45.07878,7.63728
12,11,45.069,7.66681
12,11,45.06564,7.63941
12,11,45.0623,7.63138
12,11,45.05997,7.66065
12,11,45.04718,7.67273
12,11,45.05296,7.6707
12,11,45.05522,7.69534
12,11,45.10098,7.67851
12,11,45.09622,7.6989
12,11,45.02171,7.62365
12,11,45.03987,7.68251
12,11,45.0638,7.67488
12,11,45.05495,7.63157
12,11,45.04899,7.66534
12,11,45.07253,7.66912
12,11,45.04193,7.67632
12,11,45.10468,7.7034
12,11,45.05402,7.67833
12,11,45.06098,7.64295
12,11,45.07659,7.68032
12,11,45.10092,7.66523
12,11,45.06568,7.62946
12,11,45.07196,7.67427
12,11,45.01377,7.62307
12,11,45.06403,7.67149
12,11,45.06533,7.64883
12,11,45.10588,7.65075
12,11,45.06103,7.65932
12,11,45.06944,7.6375
12,11,45.06226,7.67371
12,11,45.05642,7.65337
12,11,45.07117,7.69865
12,11,45.08387,7.65222
12,11,45.06385,7.70636
12,11,45.06107,7.65836
12,11,45.08526,7.65966
12,11,45.03428,7.64068
12,11,45.08334,7.68782
12,11,45.07309,7.67394
12,11,45.08177,7.68097
12,11,45.06524,7.64874
12,11,45.07357,7.67644
12,11,45.06502,7.66137
12,11,45.04767,7.68164
12,11,45.06883,7.66442
12,11,45.06633,7.65732
12,11,45.08829,7.70734
12,11,45.07579,7.69337
12,11,45.05995,7.66686
12,11,45.05862,7.6871
12,11,45.01732,7.66471
12,11,45.0659,7.64608
12,11,45.05432,7.6835
12,11,45.07285,7.69468
12,11,45.06926,7.67149
12,11,45.08269,7.67088
12,11,45.06867,7.66602
12,11,45.07575,7.6748
12,11,45.07124,7.71376
12,11,45.0982,7.69317
12,11,45.07777,7.65771
12,11,45.04718,7.67273
12,11,45.06694,7.6745
12,11,45.05693,7.69382
