Longitute,Latitute,In going
7.611758322,45.0118746,2
7.618112075,45.0118746,43
7.624465829,45.0118746,22
7.630819582,45.0118746,8
7.643527088,45.0118746,40
7.649880842,45.0118746,93
7.599050816,45.0163698,1
7.605404569,45.0163698,24
7.611758322,45.0163698,62
7.618112075,45.0163698,104
7.624465829,45.0163698,63
7.630819582,45.0163698,73
7.637173335,45.0163698,4
7.643527088,45.0163698,81
7.649880842,45.0163698,91
7.656234595,45.0163698,176
7.605404569,45.020865,125
7.611758322,45.020865,43
7.618112075,45.020865,27
7.624465829,45.020865,65
7.630819582,45.020865,94
7.637173335,45.020865,110
7.643527088,45.020865,130
7.649880842,45.020865,128
7.656234595,45.020865,133
7.662588348,45.020865,55
7.630819582,45.02536019,169
7.637173335,45.02536019,209
7.643527088,45.02536019,57
7.649880842,45.02536019,179
7.656234595,45.02536019,27
7.662588348,45.02536019,76
7.630819582,45.02985539,87
7.637173335,45.02985539,90
7.643527088,45.02985539,100
7.649880842,45.02985539,84
7.656234595,45.02985539,3
7.662588348,45.02985539,233
7.668942101,45.02985539,101
7.675295855,45.02985539,26
7.611758322,45.03435059,12
7.618112075,45.03435059,132
7.624465829,45.03435059,31
7.630819582,45.03435059,95
7.637173335,45.03435059,149
7.643527088,45.03435059,204
7.649880842,45.03435059,204
7.656234595,45.03435059,2
7.662588348,45.03435059,399
7.668942101,45.03435059,74
7.675295855,45.03435059,66
7.611758322,45.03884578,84
7.618112075,45.03884578,131
7.624465829,45.03884578,94
7.630819582,45.03884578,138
7.637173335,45.03884578,265
7.643527088,45.03884578,144
7.649880842,45.03884578,244
7.656234595,45.03884578,58
7.662588348,45.03884578,114
7.668942101,45.03884578,61
7.675295855,45.03884578,151
7.618112075,45.04334098,68
7.624465829,45.04334098,132
7.630819582,45.04334098,111
7.637173335,45.04334098,194
7.643527088,45.04334098,137
7.649880842,45.04334098,142
7.656234595,45.04334098,125
7.662588348,45.04334098,204
7.668942101,45.04334098,407
7.675295855,45.04334098,145
7.681649608,45.04334098,7
7.618112075,45.04783618,34
7.624465829,45.04783618,141
7.630819582,45.04783618,190
7.637173335,45.04783618,219
7.643527088,45.04783618,159
7.649880842,45.04783618,56
7.656234595,45.04783618,319
7.662588348,45.04783618,263
7.668942101,45.04783618,428
7.675295855,45.04783618,333
7.605404569,45.05233138,286
7.618112075,45.05233138,45
7.624465829,45.05233138,156
7.630819582,45.05233138,183
7.637173335,45.05233138,145
7.643527088,45.05233138,373
7.649880842,45.05233138,411
7.656234595,45.05233138,557
7.662588348,45.05233138,389
