MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-30T13:50:35.122+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
Torino 121 418261
Torino 135 418262
Torino 155 418263
Torino 167 418264
Torino 172 418265
Torino 147 418266
Torino 107 418267
Torino 84 418268
Torino 71 418269
Torino 54 418270
Torino 24 418271
Torino 2 418272
Torino 2 418273
Torino 10 418274
Torino 18 418275
Torino 54 418276
Torino 106 418277
Torino 203 418278
Torino 132 418279
Torino 117 418280
Torino 102 418281
Torino 120 418282
Torino 149 418283
Torino 132 418284
Torino 153 418285
Torino 124 418286
Torino 168 418287
Torino 200 418288
Torino 163 418289
Torino 126 418290
Torino 95 418291
Torino 98 418292
Torino 82 418293
Torino 51 418294
Torino 24 418295
Torino 13 418296
Torino 4 418297
Torino 11 418298
Torino 19 418299
Torino 44 418300
Torino 121 418301
Torino 193 418302
Torino 140 418303
Torino 112 418304
Torino 102 418305
Torino 104 418306
Torino 131 418307
Torino 137 418308
Torino 108 418309
Torino 151 418310
Torino 156 418311
Torino 166 418312
Torino 133 418313
Torino 116 418314
Torino 93 418315
Torino 108 418316
Torino 89 418317
Torino 61 418318
Torino 23 418319
Torino 17 418320
Torino 4 418321
Torino 9 418322
Torino 17 418323
Torino 43 418324
Torino 96 418325
Torino 175 418326
Torino 142 418327
Torino 111 418328
Torino 107 418329
Torino 141 418330
Torino 150 418331
Torino 139 418332
Torino 110 418333
Torino 133 418334
Torino 139 418335
Torino 160 418336
Torino 174 418337
Torino 139 418338
Torino 113 418339
Torino 104 418340
Torino 87 418341
Torino 54 418342
Torino 38 418343
Torino 12 418344
Torino 6 418345
Torino 12 418346
Torino 19 418347
Torino 44 418348
Torino 107 418349
Torino 173 418350
Torino 145 418351
Torino 97 418352
Torino 106 418353
Torino 146 418354
Torino 115 418355
Torino 145 418356
Torino 124 418357
Torino 159 418358
Torino 174 418359
Torino 171 418360
Torino 165 418361
Torino 148 418362
Torino 122 418363
Torino 108 418364
Torino 105 418365
Torino 83 418366
Torino 59 418367
Torino 41 418368
Torino 25 418369
Torino 27 418370
Torino 23 418371
Torino 32 418372
Torino 32 418373
Torino 64 418374
Torino 107 418375
Torino 144 418376
Torino 128 418377
Torino 156 418378
Torino 102 418379
Torino 118 418380
Torino 154 418381
Torino 164 418382
Torino 183 418383
Torino 192 418384
Torino 194 418385
Torino 166 418386
Torino 96 418387
Torino 123 418388
Torino 145 418389
Torino 101 418390
Torino 68 418391
Torino 44 418392
Torino 29 418393
Torino 13 418394
Torino 15 418395
Torino 12 418396
Torino 18 418397
Torino 30 418398
Torino 57 418399
Torino 59 418400
Torino 79 418401
Torino 84 418402
Torino 67 418403
Torino 69 418404
Torino 85 418405
Torino 93 418406
Torino 97 418407
Torino 100 418408
Torino 113 418409
Torino 98 418410
Torino 60 418411
Torino 71 418412
Torino 55 418413
Torino 40 418414
Torino 14 418415
Torino 10 418416
Torino 5 418417
Torino 13 418418
Torino 21 418419
Torino 43 418420
Torino 99 418421
Torino 171 418422
Torino 126 418423
Torino 100 418424
Torino 91 418425
Torino 116 418426
Torino 119 418427
Torino 121 418428
Torino 121 418429
Torino 130 418430
Torino 138 418431
Torino 164 418432
Torino 158 418433
Torino 129 418434
Torino 87 418435
Torino 85 418436
Torino 86 418437
Torino 37 418438
Torino 21 418439
Torino 9 418440
Torino 5 418441
Torino 14 418442
Torino 23 418443
Torino 40 418444
Torino 97 418445
Torino 191 418446
Torino 149 418447
Torino 102 418448
Torino 101 418449
Torino 121 418450
Torino 143 418451
Torino 123 418452
Torino 125 418453
Torino 134 418454
Torino 159 418455
