101 417844
61 417845
46 417846
49 417847
35 417848
38 417849
33 417850
60 417851
88 417852
101 417853
87 417854
118 417855
134 417856
105 417857
112 417858
125 417859
112 417860
137 417861
126 417862
118 417863
122 417864
61 417865
49 417866
5 417867
439 417945
61 417946
89 417947
91 417948
109 417949
113 417950
106 417951
127 417952
140 417953
530 417954
120 417955
135 417956
141 417957
168 417958
233 417959
193 417960
163 417961
168 417962
160 417963
103 417964
107 417965
64 417966
101 417967
65 417968
82 417969
83 417970
99 417971
112 417972
130 417973
143 417974
111 417975
122 417976
133 417977
119 417978
124 417979
132 417980
169 417981
177 417982
261 417983
192 417984
186 417985
178 417986
130 417987
189 417988
159 417989
132 417990
119 417991
114 417992
105 417993
78 417994
95 417995
126 417996
120 417997
112 417998
134 417999
108 418000
113 418001
119 418002
137 418003
142 418004
132 418005
140 418006
177 418007
207 418008
171 418009
170 418010
134 418011
172 418012
100 418013
77 418014
55 418015
67 418016
65 418017
61 418018
86 418019
104 418020
141 418021
118 418022
126 418023
101 418024
109 418025
120 418026
139 418027
124 418028
132 418029
175 418030
187 418031
211 418032
184 418033
194 418034
176 418035
119 418036
153 418037
117 418038
85 418039
88 418040
116 418041
136 418042
127 418043
163 418044
171 418045
189 418046
208 418047
198 418048
192 418049
186 418050
199 418051
202 418052
202 418053
226 418054
212 418055
205 418056
193 418057
172 418058
178 418059
171 418060
129 418061
90 418062
55 418063
43 418064
37 418065
40 418066
57 418067
67 418068
430 418069
136 418070
162 418071
231 418072
201 418073
194 418074
233 418075
210 418076
202 418077
204 418078
176 418079
154 418080
143 418081
122 418082
102 418083
100 418084
42 418085
56 418086
33 418087
34 418088
30 418089
36 418090
77 418091
84 418092
132 418093
79 418094
77 418095
105 418096
105 418097
111 418098
92 418099
89 418100
116 418101
141 418102
206 418103
184 418104
148 418105
123 418106
113 418107
502 418108
69 418109
34 418110
27 418111
38 418112
36 418113
472 418114
96 418115
75 418116
95 418117
112 418118
140 418119
118 418120
111 418121
135 418122
152 418123
172 418124
144 418125
166 418126
196 418127
188 418128
146 418129
104 418130
109 418131
75 418132
43 418133
22 418134
25 418135
21 418136
32 418137
39 418138
