MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-02-02T18:17:55.092+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
0 , 0 , 188
0 , 1 , 128
0 , 2 , 293
0 , 3 , 147
0 , 4 , 192
0 , 5 , 145
0 , 6 , 166
0 , 7 , 179
0 , 8 , 66
0 , 9 , 146
0 , 10 , 167
0 , 11 , 71
0 , 12 , 52
0 , 13 , 79
0 , 14 , 0
0 , 15 , 28
0 , 16 , 50
0 , 17 , 35
0 , 18 , 10
0 , 19 , 46
0 , 20 , 59
0 , 21 , 20
0 , 22 , 48
1 , 0 , 118
1 , 1 , 39
1 , 2 , 133
1 , 3 , 63
1 , 4 , 68
1 , 5 , 39
1 , 6 , 51
1 , 7 , 67
1 , 8 , 58
1 , 9 , 69
1 , 10 , 39
1 , 11 , 33
1 , 12 , 26
1 , 13 , 13
1 , 14 , 0
1 , 15 , 5
1 , 16 , 20
1 , 17 , 12
1 , 18 , 6
1 , 19 , 18
1 , 20 , 52
1 , 21 , 5
1 , 22 , 32
2 , 0 , 230
2 , 1 , 116
2 , 2 , 137
2 , 3 , 159
2 , 4 , 219
2 , 5 , 113
2 , 6 , 49
2 , 7 , 62
2 , 8 , 80
2 , 9 , 108
2 , 10 , 104
2 , 11 , 72
2 , 12 , 78
2 , 13 , 43
2 , 14 , 0
2 , 15 , 18
2 , 16 , 24
2 , 17 , 12
2 , 18 , 3
2 , 19 , 12
2 , 20 , 29
2 , 21 , 5
2 , 22 , 40
3 , 0 , 142
3 , 1 , 50
3 , 2 , 122
3 , 3 , 106
3 , 4 , 139
3 , 5 , 70
3 , 6 , 17
3 , 7 , 25
3 , 8 , 24
3 , 9 , 48
3 , 10 , 43
3 , 11 , 30
3 , 12 , 72
3 , 13 , 24
3 , 14 , 1
3 , 15 , 16
3 , 16 , 12
3 , 17 , 6
3 , 18 , 2
3 , 19 , 6
3 , 20 , 10
3 , 21 , 2
3 , 22 , 15
4 , 0 , 190
4 , 1 , 64
4 , 2 , 194
4 , 3 , 192
4 , 4 , 162
4 , 5 , 115
4 , 6 , 99
4 , 7 , 66
4 , 8 , 36
4 , 9 , 59
4 , 10 , 71
4 , 11 , 42
4 , 12 , 106
4 , 13 , 72
4 , 14 , 0
4 , 15 , 20
4 , 16 , 42
4 , 17 , 21
4 , 18 , 7
4 , 19 , 12
4 , 20 , 9
4 , 21 , 5
4 , 22 , 20
5 , 0 , 103
5 , 1 , 42
5 , 2 , 79
5 , 3 , 89
5 , 4 , 164
5 , 5 , 126
5 , 6 , 177
5 , 7 , 105
5 , 8 , 17
5 , 9 , 33
5 , 10 , 55
5 , 11 , 23
5 , 12 , 42
5 , 13 , 92
5 , 14 , 0
5 , 15 , 62
5 , 16 , 89
5 , 17 , 33
5 , 18 , 5
5 , 19 , 13
5 , 20 , 9
5 , 21 , 9
5 , 22 , 20
6 , 0 , 110
6 , 1 , 47
6 , 2 , 55
6 , 3 , 50
6 , 4 , 100
6 , 5 , 116
6 , 6 , 137
6 , 7 , 109
6 , 8 , 19
6 , 9 , 11
6 , 10 , 21
6 , 11 , 10
6 , 12 , 33
6 , 13 , 39
6 , 14 , 0
6 , 15 , 24
6 , 16 , 75
6 , 17 , 72
6 , 18 , 9
6 , 19 , 28
6 , 20 , 17
6 , 21 , 20
6 , 22 , 7
7 , 0 , 123
7 , 1 , 65
7 , 2 , 64
7 , 3 , 34
7 , 4 , 68
7 , 5 , 83
7 , 6 , 119
7 , 7 , 86
7 , 8 , 32
7 , 9 , 16
7 , 10 , 14
7 , 11 , 7
7 , 12 , 13
7 , 13 , 20
7 , 14 , 0
7 , 15 , 23
7 , 16 , 28
7 , 17 , 35
7 , 18 , 9
7 , 19 , 38
7 , 20 , 15
7 , 21 , 23
7 , 22 , 10
8 , 0 , 56
8 , 1 , 62
8 , 2 , 65
8 , 3 , 39
8 , 4 , 30
8 , 5 , 14
8 , 6 , 12
8 , 7 , 33
8 , 8 , 79
8 , 9 , 109
8 , 10 , 26
8 , 11 , 79
8 , 12 , 7
8 , 13 , 12
8 , 14 , 0
8 , 15 , 2
8 , 16 , 11
8 , 17 , 8
8 , 18 , 0
8 , 19 , 9
8 , 20 , 26
8 , 21 , 6
8 , 22 , 75
9 , 0 , 60
9 , 1 , 65
9 , 2 , 72
9 , 3 , 69
9 , 4 , 67
9 , 5 , 32
9 , 6 , 26
9 , 7 , 22
9 , 8 , 86
9 , 9 , 149
9 , 10 , 58
9 , 11 , 51
9 , 12 , 37
9 , 13 , 12
9 , 14 , 0
9 , 15 , 9
9 , 16 , 7
9 , 17 , 5
9 , 18 , 4
9 , 19 , 7
9 , 20 , 46
9 , 21 , 1
9 , 22 , 97
10 , 0 , 76
10 , 1 , 33
10 , 2 , 69
10 , 3 , 55
10 , 4 , 62
10 , 5 , 32
10 , 6 , 20
10 , 7 , 9
10 , 8 , 27
10 , 9 , 42
10 , 10 , 31
10 , 11 , 31
10 , 12 , 32
10 , 13 , 20
10 , 14 , 0
10 , 15 , 9
10 , 16 , 10
10 , 17 , 3
10 , 18 , 3
10 , 19 , 5
10 , 20 , 9
10 , 21 , 3
10 , 22 , 20
11 , 0 , 37
11 , 1 , 19
11 , 2 , 40
11 , 3 , 42
11 , 4 , 35
11 , 5 , 23
11 , 6 , 14
11 , 7 , 7
11 , 8 , 42
11 , 9 , 54
11 , 10 , 27
11 , 11 , 34
11 , 12 , 30
11 , 13 , 17
11 , 14 , 0
11 , 15 , 12
11 , 16 , 7
11 , 17 , 2
11 , 18 , 0
11 , 19 , 2
11 , 20 , 9
11 , 21 , 1
11 , 22 , 38
12 , 0 , 33
12 , 1 , 19
12 , 2 , 51
12 , 3 , 87
12 , 4 , 59
12 , 5 , 51
12 , 6 , 34
12 , 7 , 8
12 , 8 , 21
12 , 9 , 20
12 , 10 , 25
12 , 11 , 23
12 , 12 , 68
12 , 13 , 44
12 , 14 , 0
12 , 15 , 21
12 , 16 , 17
12 , 17 , 9
12 , 18 , 3
12 , 19 , 1
12 , 20 , 5
12 , 21 , 2
12 , 22 , 6
13 , 0 , 26
13 , 1 , 9
13 , 2 , 35
13 , 3 , 47
13 , 4 , 50
13 , 5 , 53
13 , 6 , 40
13 , 7 , 17
13 , 8 , 9
13 , 9 , 9
13 , 10 , 13
13 , 11 , 17
13 , 12 , 45
13 , 13 , 42
13 , 14 , 0
13 , 15 , 16
13 , 16 , 17
13 , 17 , 14
13 , 18 , 4
13 , 19 , 3
13 , 20 , 3
13 , 21 , 5
13 , 22 , 2
14 , 0 , 0
14 , 1 , 0
14 , 2 , 0
14 , 3 , 0
14 , 4 , 1
14 , 5 , 0
14 , 6 , 0
14 , 7 , 0
14 , 8 , 0
14 , 9 , 0
14 , 10 , 0
14 , 11 , 0
14 , 12 , 0
14 , 13 , 0
14 , 14 , 0
14 , 15 , 0
14 , 16 , 0
14 , 17 , 0
14 , 18 , 0
14 , 19 , 0
14 , 20 , 0
14 , 21 , 0
14 , 22 , 0
15 , 0 , 18
15 , 1 , 5
15 , 2 , 9
15 , 3 , 27
15 , 4 , 49
15 , 5 , 33
15 , 6 , 39
15 , 7 , 14
15 , 8 , 1
15 , 9 , 9
15 , 10 , 8
15 , 11 , 6
15 , 12 , 18
15 , 13 , 19
15 , 14 , 0
15 , 15 , 9
15 , 16 , 26
15 , 17 , 23
